Cluster ID,Link Score,source file,name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
806,0.67448235,0,kla corporation,"milpitas,ca,unitedstates",united states,,,, 1997," 11,300",richard p wallace,56480000000,,technology,semiconductor equipment & materials,,,,,,,,,
586,0.67448366,0,humana inc,"louisville,ky,unitedstates",united states,,,," august 18, 1961"," 95,500",bruce dale broussard,56550000000,,healthcare,healthcare plans,,,,,,,,,
621,0.6744835,0,tc energy corporation,"calgary,ab,canada",canada,,,,," 7,017",francois lionel poirier,56770000000,,energy,oil & gas midstream,,,,,,,,,
52,0.67448515,0,the saudi national bank,"riyadh,saudiarabia",saudi arabia,,,,," 16,113",saeed bin mohammed a al-ghamdi,56890000000,,financials,banks,,,,,,,,,
953,0.67446226,0,ihs markit ltd,"london,unitedkingdom",united kingdom,,,, 1959," 16,000",,56940000000,,industrials,consulting services,,,,,,,,,
386,0.6744841,0,pinduoduo inc,"shanghai,china",china,,,,," 7,986",lei chen,57090000000,,consumer discretionary,internet retail,,,,,,,,,
106,0.67448467,0,marriott international inc,"bethesda,md,unitedstates",united states,,,," march 5, 1927"," 120,000",anthony g capuano jr,57180000000,,consumer discretionary,lodging,,,,,,,,,
898,0.6744716,0,canadian imperial bank of commerce,"toronto,on,canada",canada,,,," june 1, 1961"," 46,030",victor g dodig,57200000000,,financials,banks,,,,,,,,,
317,0.67448425,0,mitsubishi corp,"tokyo,japan",japan,,,,,,takehiko kakiuchi,57230000000,,industrials,conglomerates,,,,,,,,,
181,0.67448455,0,foshan haitian flavouring and food company ltd,"foshan,china",china,,,,," 6,058",,57400000000,,consumer staples,packaged foods,,,,,,,,,
360,0.67448413,0,enterprise products partners lp,"houston,tx,unitedstates",united states,,,, 1968," 7,000",a james teague,57430000000,,energy,oil & gas midstream,,,,,,,,,
470,0.6744839,0,itau unibanco holding sa,"saopaulo,sp,brazil",brazil,,,,," 99,600",milton maluhy filho,57450000000,,financials,banks,,,,,,,,,
883,0.6744728,0,marvell technology inc,"wilmington,de,unitedstates",united states,,,,," 6,695",matthew j murphy,57620000000,,technology,semiconductors,,,,,,,,,
409,0.674484,0,schlumberger limited,"houston,tx,unitedstates",united states,,,, 1926," 92,000",olivier le peuch,57630000000,,energy,oil & gas equipment & services,,,,,,,,,
242,0.67448443,0,pernod ricard sa,"paris,france",france,,,,," 18,500",alexan ricard,57750000000,,consumer staples,beverageswineries & distilleries,,,,,,,,,
84,0.6744847,0,air products and chemicals inc,"allentown,pa,unitedstates",united states,,,, 1940," 20,000",seifollah ghasemi,57820000000,,basic materials,chemicals,,,,,,,,,
83,0.6744847,0,marvell technology group ltd,"hamilton,bermuda",bermuda,,,, 1995," 6,695",matthew j murphy,58360000000,,                                        technology                                    ,                                        semiconductors                                    ,,,,,,,,,
703,0.6744832,0,relx plc,"london,unitedkingdom",united kingdom,,,, 1993," 33,500",erik engstrom,58530000000,,communication services,publishing,,,,,,,,,
513,0.67448384,0,workday inc,"pleasanton,ca,unitedstates",united states,,,, march 2005," 15,200",aneel bhusri,58700000000,,technology,softwareapplication,,,,,,,,,
610,0.67448354,0,vinci sa,"rueil-malmaison,france",france,,,,," 218,569",xavier m p huillard,59010000000,,industrials,engineering & construction,,,,,,,,,
879,0.67447317,0,shenzhen mindray bio-medical electronics co ltd,"shenzhen,china",china,,,,," 11,833",,59260000000,,healthcare,medical devices,,,,,,,,,
456,0.67448395,0,southern copper corporation,"phoenix,az,unitedstates",united states,,,, 1952," 14,700",oscar gonzalez rocha,59460000000,,basic materials,copper,,,,,,,,,
51,0.67448515,0,saudi telecom company,"riyadh,saudiarabia",saudi arabia,,,,,,,59470000000,,communication services,telecom services,,,,,,,,,
359,0.67448413,0,nongfu spring co ltd,"hangzhou,china",china,,,,," 20,773",,59500000000,,consumer staples,beveragesnon-alcoholic,,,,,,,,,
334,0.6744842,0,reckitt benckiser group plc,"slough,unitedkingdom",united kingdom,,,, 1814," 43,000",,59530000000,,consumer staples,household & personal products,,,,,,,,,
910,0.6744704,0,australia and new zealand banking group limited,"melbourne,vic,australia",australia,,,, 1 october 1970," 39,684",shayne cary elliott bcom bcom,59550000000,,financials,banks,,,,,,,,,
180,0.67448455,0,palo alto networks inc,"santaclara,ca,unitedstates",united states,,,, 2005," 11,527",nikesh arora cfa,59650000000,,technology,softwareinfrastructure,,,,,,,,,
684,0.67448324,0,emerson electric co,"saintlouis,mo,unitedstates",united states,,,, 1890," 86,700",surendralal lanca karsanbhai,59660000000,,industrials,specialty industrial machinery,,,,,,,,,
672,0.6744833,0,capital one financial corporation,"mclean,va,unitedstates",united states,,,," july 21, 1994"," 50,767",richard d fairbank,59670000000,,financials,credit services,,,,,,,,,
64,0.6744848,0,hong kong exchanges & clearing ltd,"central,hongkong",hong kong,,,,," 2,146",alejannicolas aguzin,59750000000,,financials,financial data & stock exchanges,,,,,,,,,
512,0.67448384,0,netease inc,"hangzhou,china",china,,,, june 1997," 18,129",lei ding,59760000000,,communication services,internet content & information,,,,,,,,,
241,0.67448443,0,deutsche post ag,"bonn,germany",germany,,,,," 548,042",frank appel,59800000000,,industrials,integrated freight & logistics,,,,,,,,,
651,0.6744834,0,block inc,"sanfrancisco,ca,unitedstates",united states,,,," february 14, 2009"," 8,521",jack dorsey,59950000000,,technology,softwareinfrastructure,,,,,,,,,
511,0.67448384,0,nutrien ltd,"saskatoon,sk,canada",canada,,,,," 23,500",kenneth a seitz,60060000000,,basic materials,agricultural inputs,,,,,,,,,
717,0.6744831,0,cnooc limited,"central,hongkong",hong kong,,,, august 1999," 18,151",keqiang xu,60190000000,,energy,oil & gas e&p,,,,,,,,,
282,0.6744843,0,atlas copco ab,"nacka,sweden",sweden,,,,," 42,862",mats rahmstram,60970000000,,industrials,specialty industrial machinery,,,,,,,,,
609,0.67448354,0,adyen nv,"amsterdam,netherlands",netherlands,,,,," 2,180",pieter willem van der does,61110000000,,technology,softwareinfrastructure,,,,,,,,,
316,0.67448425,0,hapag-lloyd ag,"hamburg,germany",germany,,,,," 14,106",rolf habben jansen,61460000000,,industrials,marine shipping,,,,,,,,,
821,0.6744802,0,banco santander sa,"madrid,spain",spain,,,, 15 may 1857," 177,033",jose antonio alvarez alvarez,61670000000,,financials,banks,,,,,,,,,
57,0.67448485,0,fidelity national information services inc,"jacksonville,fl,unitedstates",united states,,,, 1968," 65,000",gary adam norcross,61730000000,,technology,information technology services,,,,,,,,,
240,0.67448443,0,analog devices inc,"norwood,ma,unitedstates",united states,,,," cambridge, massachusetts, united states 1965"," 24,700",vincent t roche,62000000000,,technology,semiconductors,,,,,,,,,
787,0.6744827,0,eaton corporation plc,"dublin,ireland",ireland,,,, 1911," 85,947",craig arnold,62170000000,,industrials,specialty industrial machinery,,,,,,,,,
179,0.67448455,0,pioneer natural resources company,"irving,tx,unitedstates",united states,,,, 1997," 1,932",scott douglas sheffield,62190000000,,energy,oil & gas e&p,,,,,,,,,
552,0.6744837,0,nintendo co ltd,"kyoto,japan",japan,,,,," 6,574",,62200000000,,communication services,electronic gaming & multimedia,,,,,,,,,
