name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
fidelity national information services,,usa,,,,,"65,000",gary a norcross,,,,,,,,,,,,,
shin-etsu chemical,,japan,,,,,"24,069",yasuhiko saito,,,,,,,,,,,,,
dassault systemes,,france,,,,,"19,789",bernard charles,,,,,,,,,,,,,
colgate-palmolive company,,usa,,,,,"33,800",noel r wallace,,,,,,,,,,,,,
glencore,,switzerland,,,,,"134,878",gary nagle,,,,,,,,,,,,,
bayerische motoren werke bmw,,germany,,,,,"120,726",,,,,,,,,,,,,,
canadian pacific railway,,canada,,,,,"11,834",keith creel,,,,,,,,,,,,,
ernst & young,,uk,,,,,"312,250",,,,,,,,,,,,,,
marvell technology group,,bermuda,,,,,"5,633",matthew murphy,,,,,,,,,,,,,
pinduoduo,,china,,,,,"7,986",colin huang zheng,,,,,,,,,,,,,
fedex corporation,,usa,,,,,"289,000",raj subramaniam,,,,,,,,,,,,,
equinix,,usa,,,,,"10,944",charles j meyers,,,,,,,,,,,,,
novatek,,russia,,,,,"16,821",leonid viktorovich mikhelson,,,,,,,,,,,,,
moody's corporation,,usa,,,,,"13,023",rob fauber,,,,,,,,,,,,,
lucid group inc,,usa,,,,,"2,000",,,,,,,,,,,,,,
national australia bank,,australia,,,,,"34,944",ross mcewan,,,,,,,,,,,,,
basf se,,germany,,,,,"110,302",,,,,,,,,,,,,,
ap moller - maersk a/s,,denmark,,,,,"80,000",soren skou,,,,,,,,,,,,,
petroleo brasileiro - petrobras,,brazil,,,,,"49,050",roberto castello branco,,,,,,,,,,,,,
aldi,,germany,,,,,"25,000",,,,,,,,,,,,,,
kddi corporation,,japan,,,,,"47,320",takashi tanaka,,,,,,,,,,,,,
longi green energy technology,,china,,,,,"32,873",,,,,,,,,,,,,,
zurich insurance group ag,,switzerland,,,,,"52,930",mario greco,,,,,,,,,,,,,
waste management,,usa,,,,,"48,500",james c fish jr,,,,,,,,,,,,,
nongfu spring,,china,,,,,,,,,,,,,,,,,,,
eaton corporation,,ireland,,,,,"85,947",craig arnold,,,,,,,,,,,,,
netease,,china,,,,,"28,239",ding lei,,,,,,,,,,,,,
denso corporation,,japan,,,,,"168,391",koji arima,,,,,,,,,,,,,
ubs group ag,,switzerland,,,,,"71,551",ralph hamers,,,,,,,,,,,,,
snap inc,,usa,,,,,"5,661",evan spiegel,,,,,,,,,,,,,
industrial bank,,china,,,,,"60,500",doyle mitchell jr,,,,,,,,,,,,,
america movil,,mexico,,,,,"186,851",daniel hajj aboumrad,,,,,,,,,,,,,
pt bank central asia tbk,,indonesia,,,,,"26,123",jahja setiaatmadja,,,,,,,,,,,,,
air products and chemicals,,usa,,,,,"20,875",seifi ghasemi,,,,,,,,,,,,,
ecolab,,usa,,,,,"47,000",christophe beck,,,,,,,,,,,,,
capital one financial corporation,,usa,,,,,"50,800",richard fairbank,,,,,,,,,,,,,
nidec corporation,,japan,,,,,"117,356",jun seki,,,,,,,,,,,,,
daikin industries,,japan,,,,,"80,369",masanori togawa,,,,,,,,,,,,,
block inc,,usa,,,,,"8,521",jack dorsey,,,,,,,,,,,,,
dbs group holdings,,singapore,,,,,"29,000",piyush gupta,,,,,,,,,,,,,
whatsapp,,usa,,,,,55,,,,,,,,,,,,,,
china shenhua energy company,,china,,,,,"76,182",yang jiping,,,,,,,,,,,,,
dominion energy,,usa,,,,,"17,100",robert m blue,,,,,,,,,,,,,
regeneron pharmaceuticals,,usa,,,,,"10,368",leonard schleifer,,,,,,,,,,,,,
stellantis nv,,netherlands,,,,,"189,512",carlos tavares,,,,,,,,,,,,,
progressive corporation,,usa,,,,,"49,000",tricia griffith,,,,,,,,,,,,,
