name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
obrascon huarte lain,madrid,,,,1999,,,,,heavy construction,,,,,,
orbea,mallabia,,,,1931,,,,,recreational products,,,,,,
pacha group,ibiza,,,,1967,,,,,travel & tourism,,,,,,
pescanova,redondela,,,,1960,,,,,food products,,,,,,
planeta group,barcelona,,,,1949,,,,,publishing,,,,,,
porcelanosa,villarreal,,,,1973,,,,,building materials & fixtures,,,,,,
prisa tv,tres cantos,,,,1989,,,,,broadcasting & entertainment,,,,,,
private media group,barcelona,,,,1965,,,,,broadcasting & entertainment,,,,,,
prosegur,madrid,,,,1976,,,,,business support services,,,,,,
pyro studios,alcobendas,,,,1996,,,,,software,,,,,,
red electrica de espana,alcobendas,,,,1985,,,,,conventional electricity,,,,,,
renfe,madrid,,,,2005,,,,,travel & tourism,,,,,,
repsol,madrid,,,,1987,,,,,integrated oil & gas,,,,,,
rtve,madrid,,,,2007,,,,,broadcasting & entertainment,,,,,,
riu hotels,majorca,,,,1953,,,,,hotels,,,,,,
sacyr,madrid,,,,1999,,,,,heavy construction,,,,,,
santana motor,linares,,,,1956,,,,,automobiles,,,,,,
seat,martorell,,,,1950,,,,,automobiles,,,,,,
sener,getxo,,,,1956,,,,,heavy construction,,,,,,
sener aeronautica,getxo,,,,1956,,,,,aerospace,,,,,,
talgo,las rozas de madrid,,,,1942,,,,,commercial vehicles & trucks,,,,,,
tecnicas reunidas,madrid,,,,1959,,,,,oil equipment & services,,,,,,
telefonica,madrid,,,,1924,,,,,fixed line telecommunications,,,,,,
telepizza,madrid,,,,1987,,,,,restaurants & bars,,,,,,
terra,madrid,,,,1999,,,,,internet,,,,,,
uralita group,madrid,,,,1907,,,,,building materials & fixtures,,,,,,
vidal,molina de segura,,,,1963,,,,,food products,,,,,,
vitelcom,malaga,,,,2001,,,,,consumer electronics,,,,,,
vodafone spain,madrid,,,,2000,,,,,mobile telecommunications,,,,,,
vueling,barcelona,,,,2004,,,,,airlines,,,,,,
zara,arteixo,,,,1974,,,,,apparel retailers,,,,,,
zinkia entertainment,madrid,,,,2001,,,,,broadcasting & entertainment,,,,,,
academa,ljubljana,,,,1992,,,,,software,,,,,,
adria airways,zgornji brnik,,,,1961,,,,,airlines,,,,,,
adria mobil,novo mesto,,,,1965,,,,,automobiles,,,,,,
