name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
ezaki glico,new york city,,,"nishi-ku, osaka, japan  11 february 1922  100 years ago  1922-02-11  [1][2]",,,,,,,,,
ernst & young,london,,,1989  33 years ago  1989   through merger of ernst & whinney and arthur young & co.  oldest component from 1849 [2],,,,,,,,,
faber-castell,london,,,1761  261 years ago  1761 ,,,,,,,,,
fairphone,london,,,january 2013  9 years ago  2013-01 ,,,,,,,,,
fast retailing,london,,,"as mens shop ogori shoji march 1949  73 years ago  1949-03  as fast retailing september 1991  31 years ago  1991-09  1963 as ogori shoji co., ltd.  ube, yamaguchi, japan  1991 as fast retailing co., ltd.  name change ",,,,,,,,,
fbt company,bangkok,,,1952  70 years ago  1952 ,,,,,,,,,
fedex,"memphis, tennessee",,,"may 5, 1971  51 years ago  1971-05-05  in little rock, arkansas",,,,,,,,,
ferrero spa,"memphis, tennessee",,,1946  76 years ago  1946 ,,,,,,,,,
fila,"memphis, tennessee",,,"biella, piedmont, italy 1911  111 years ago  1911 ",,,,,,,,,
ficosa,"memphis, tennessee",,,"biella, piedmont, italy 1911  111 years ago  1911 ",,,,,,,,,
fis company,"jacksonville, florida",,,1968  54 years ago  1968 ,,,,,,,,,
font bureau,boston,,,1989,,,,,,,,,
fontshop international,boston,,,"berlin, germany  1990  1990  ",,,,,,,,,
fortinet,boston,,,2000  22 years ago  2000 ,,,,,,,,,
fossil group,richardson,,,1984  38 years ago  1984   as overseas products ,,,,,,,,,
foxconn,richardson,,,"20 february 1974  48 years ago  1974-02-20   as hon hai precision industry co., ltd. ",,,,,,,,,
fpt group,cau giay,,,"september 13, 1988",,,,,,,,,
fujifilm,tokyo midtown,,,"january 20, 1934  88 years ago  1934-01-20 ",,,,,,,,,
fujitsu,tokyo midtown,,,"june 20, 1935  87 years ago  1935-06-20   as fuji telecommunications equipment manufacturing  kawasaki, kanagawa, japan[2]",,,,,,,,,
fujiya,tokyo midtown,,,"june 30, 1938  84 years ago  1938-06-30 ",,,,,,,,,
future group,"mumbai, maharashtra",,,2013  9 years ago  2013 ,,,,,,,,,
gamestop,"mumbai, maharashtra",,,1984  38 years ago  1984 ,,,,,,,,,
gap inc,"mumbai, maharashtra",,,"august 21, 1969  53 years ago  1969-08-21  san francisco, california, u.s.",,,,,,,,,
garmin,"olathe, kansas",,,"october 1989  33 years ago  1989-10   as pronav  in lenexa, kansas, u.s.",,,,,,,,,
gartner,"olathe, kansas",,,"1979  43 years ago  1979  by gideon gartner in stamford, connecticut",,,,,,,,,
gazprom,"olathe, kansas",,,8 august 1989  33 years ago  1989-08-08 ,,,,,,,,,
geeknet,"olathe, kansas",,,november 1993  1993-11 [1],,,,,,,,,
general electric,boston,,,"april 15, 1892  130 years ago  1892-04-15  in schenectady, new york, us",,,,,,,,,
gree electric,boston,,,1991  31 years ago  1991 ,,,,,,,,,
general mills,boston,,,"june 20, 1856  166 years ago  1856-06-20  minneapolis, minnesota, u.s.",,,,,,,,,
general motors,renaissance center,,,"september 16, 1908  114 years ago  1908-09-16 [1]  original company  july 10, 2009  13 years ago  2009-07-10   present company ",,,,,,,,,
assicurazioni generali,renaissance center,,,1831  191 years ago  1831 ,,,,,,,,,
gerdau,porto alegre,,,16 january 1901  121 years ago  16 january 1901 ,,,,,,,,,
giant bicycles,porto alegre,,,"dajia, taichung, taiwan, 1972",,,,,,,,,
globe telecom,porto alegre,,,"manila, philippine islands  1935  87 years ago  1935  ",,,,,,,,,
gungho online entertainment,chiyoda,,,"july 1, 1998  24 years ago  1998-07-01 [1]",,,,,,,,,
guinness,chiyoda,,,"july 1, 1998  24 years ago  1998-07-01 [1]",,,,,,,,,
guess clothing,chiyoda,,,1981  41 years ago  1981 ,,,,,,,,,
gsk plc,london,,,27 december 2000  21 years ago  2000-12-27 ,,,,,,,,,
geely,binjiang district,,,"6 november 1986  36 years ago  1986-11-06 [1] in taizhou, zhejiang",,,,,,,,,
goodyear tire and rubber company,binjiang district,,,"august 29, 1898  124 years ago  1898-08-29  akron, ohio, u.s.",,,,,,,,,
google,1600 amphitheatre parkway,,,"september 4, 1998  24 years ago  1998-09-04 [a] in menlo park, california, united states",,,,,,,,,
