name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
american express,,newyork,ny,,,"march 18, 1850","64,000",stephen joseph squeri,150760000000,"unitedstates, financials, creditservices, unitedstatesfinancials, unitedstatescreditservices",,,,,,,,,,,
raytheon technologies,,waltham,ma,,,2020,"174,000",gregory j hayes,150960000000,"unitedstates, industrials, aerospace&defense, unitedstatesindustrials, unitedstatesaerospace&defense",,,,,,,,,,,
china life insurance company limited,,,,,,,,,97310000000,"china, financials, insurancelife, chinafinancials, chinainsurancelife",,,,,,,,,,,
airbus,,leiden,netherlands,,,,"121,056",guillaume mjd faury,88.16 billion,"netherlands, industrials, aerospace&defense, netherlandsindustrials, netherlandsaerospace&defense",,,,,,,,,,,
petroleo brasileiro sa - petrobras,,riodejaneiro,rj,,,3 october 1953,"46,416",joaquim silva e luna,98370000000,"brazil, energy, oil&gasintegrated, brazilenergy, braziloil&gasintegrated",,,,,,,,,,,
allianz se,,munich,germany,,,,"155,411",oliver bate,89.12 billion,"germany, financials, insurancediversified, germanyfinancials, germanyinsurancediversified",,,,,,,,,,,
chubb limited,,zurich,switzerland,,,"hamilton, bermuda 1985","31,000",evan g greenberg,98570000000,"switzerland, financials, insuranceproperty&casualty, switzerlandfinancials, switzerlandinsuranceproperty&casualty",,,,,,,,,,,
daimler ag,,stuttgart,germany,,,,"289,282",ola kallenius,86.86 billion,"germany, consumerdiscretionary, automanufacturers, germanyconsumerdiscretionary, germanyautomanufacturers",,,,,,,,,,,
general electric,,boston,ma,,,"april 15, 1892","168,000",h lawrence culp jr,99220000000,"unitedstates, industrials, specialtyindustrialmachinery, unitedstatesindustrials, unitedstatesspecialtyindustrialmachinery",,,,,,,,,,,
the estee lauder companies inc,,newyork,ny,,,1946,"44,640",fabrizio freda,100160000000,"unitedstates, consumerstaples, household&personalproducts, unitedstatesconsumerstaples, unitedstateshousehold&personalproducts",,,,,,,,,,,
s&p global inc,,newyork,ny,,,1917,"22,850",douglas l peterson mba,100840000000,"unitedstates, financials, financialdata&stockexchanges, unitedstatesfinancials, unitedstatesfinancialdata&stockexchanges",,,,,,,,,,,
stryker corporation,,kalamazoo,mi,,,1941,"46,000",kevin a lobo,101410000000,"unitedstates, healthcare, medicaldevices, unitedstateshealthcare, unitedstatesmedicaldevices",,,,,,,,,,,
british american tobacco plc,,london,unitedkingdom,,,1902,"54,365",jack marie henry david bowles,77.35 billion,"unitedkingdom, consumerstaples, tobacco, unitedkingdomconsumerstaples, unitedkingdomtobacco",,,,,,,,,,,
altria group inc,,richmond,va,,,1985,"6,000",william f gifford jr,102980000000,"unitedstates, consumerstaples, tobacco, unitedstatesconsumerstaples, unitedstatestobacco",,,,,,,,,,,
nippon telegraph & telephone corp,,,,,,,,,12.711 trillion,"japan, communicationservices, telecomservices, japancommunicationservices, japantelecomservices",,,,,,,,,,,
saudi basic industries corp,,riyadh,saudiarabia,,,,,yousef bin abdullah al-benyan,sr390.12 billion,"saudiarabia, basicmaterials, chemicals, saudiarabiabasicmaterials, saudiarabiachemicals",,,,,,,,,,,
byd company,,shenzhen,china,,,,"224,280",chuan-fu wang,cn664.45 billion,"china, consumerdiscretionary, automanufacturers, chinaconsumerdiscretionary, chinaautomanufacturers",,,,,,,,,,,
charter communications,,stamford,ct,,,1993,"93,700",thomas m rutledge,104970000000,"unitedstates, communicationservices, entertainment, unitedstatescommunicationservices, unitedstatesentertainment",,,,,,,,,,,
airbnb inc,,sanfrancisco,ca,,,august 2008,"6,132",brian chesky,105070000000,"unitedstates, communicationservices, internetcontent&information, unitedstatescommunicationservices, unitedstatesinternetcontent&information",,,,,,,,,,,
al rajhi banking and investment corp,,riyadh,saudiarabia,,,,"15,078",,sr399.01 billion,"saudiarabia, financials, banks, saudiarabiafinancials, saudiarabiabanks",,,,,,,,,,,
infosys limited,,bengaluru,india,,,2 july 1981,"292,067",salil satish parekh,106770000000,"india, technology, informationtechnologyservices, indiatechnology, indiainformationtechnologyservices",,,,,,,,,,,
target corporation,,minneapolis,mn,,,"june 24, 1902","450,000",brian c cornell,106890000000,"unitedstates, consumerstaples, discountstores, unitedstatesconsumerstaples, unitedstatesdiscountstores",,,,,,,,,,,
servicenow inc,,santaclara,ca,,,2003,"16,881",william r mcdermott,107990000000,"unitedstates, technology, softwareapplication, unitedstatestechnology, unitedstatessoftwareapplication",,,,,,,,,,,
vale sa,,riodejaneiro,rj,,,,,,r$503.13 billion,"brazil, basicmaterials, otherindustrialmetals&mining, brazilbasicmaterials, brazilotherindustrialmetals&mining",,,,,,,,,,,
starbucks,,seattle,wa,,,"march 30, 1971","383,000",kevin r johnson,108190000000,"unitedstates, consumerdiscretionary, restaurants, unitedstatesconsumerdiscretionary, unitedstatesrestaurants",,,,,,,,,,,
volkswagen,,wolfsburg,germany,,,,"645,318",herbert diess,98.32 billion,"germany, consumerdiscretionary, automanufacturers, germanyconsumerdiscretionary, germanyautomanufacturers",,,,,,,,,,,
citigroup inc,,newyork,ny,,,"october 8, 1998","220,092",jane nind fraser,109560000000,"unitedstates, financials, banks, unitedstatesfinancials, unitedstatesbanks",,,,,,,,,,,
glaxosmithkline plc,,brentford,unitedkingdom,,,december 2000,"90,096",emma n walmsley,83.87 billion,"unitedkingdom, healthcare, drugmanufacturersgeneral, unitedkingdomhealthcare, unitedkingdomdrugmanufacturersgeneral",,,,,,,,,,,
the boeing company,,chicago,il,,,"july 15, 1916","142,000",david l calhoun,110460000000,"unitedstates, industrials, aerospace&defense, unitedstatesindustrials, unitedstatesaerospace&defense",,,,,,,,,,,
industria de diseno textil sa,,corunna,spain,,,,"104,431",oscar garcia maceiras,95.41 billion,"spain, consumerdiscretionary, apparelretail, spainconsumerdiscretionary, spainapparelretail",,,,,,,,,,,
transurban group,,melbourne,vic,,,"14 march 1996, melbourne",672,scott charlton mba bsci beng elec mba member of fei fta,a$147.72 billion,"australia, industrials, infrastructureoperations, australiaindustrials, australiainfrastructureoperations",,,,,,,,,,,
the goldman sachs group inc,,newyork,ny,,,1869,"43,900",david solomon,112710000000,"unitedstates, financials, capitalmarkets, unitedstatesfinancials, unitedstatescapitalmarkets",,,,,,,,,,,
keyence,,osaka,japan,,,,"8,380",,13.868 trillion,"japan, technology, scientific&technicalinstruments, japantechnology, japanscientific&technicalinstruments",,,,,,,,,,,
meituan,,beijing,china,,,,"69,205",xing wang,hk$895.27 billion,"china, consumerdiscretionary, internetretail, chinaconsumerdiscretionary, chinainternetretail",,,,,,,,,,,
siemens,,munich,germany,,,,"303,000",roland busch diplphys,103.77 billion,"germany, industrials, specialtyindustrialmachinery, germanyindustrials, germanyspecialtyindustrialmachinery",,,,,,,,,,,
american tower,,boston,ma,,,1995,"6,378",thomas a bartlett cpa,115110000000,"unitedstates, realestate, reitspecialty, unitedstatesrealestate, unitedstatesreitspecialty",,,,,,,,,,,
diageo plc,,london,unitedkingdom,,,,"27,783",ivan m menezes,88.13 billion,"unitedkingdom, consumerstaples, beverageswineries&distilleries, unitedkingdomconsumerstaples, unitedkingdombeverageswineries&distilleries",,,,,,,,,,,
hdfc bank,,mumbai,india,,,,"134,412",sashidhar jagdishan,115680000000,"india, financials, banks, indiafinancials, indiabanks",,,,,,,,,,,
blackrock,,newyork,ny,,,1988,"18,400",laurence douglas fink,115980000000,"unitedstates, financials, assetmanagement, unitedstatesfinancials, unitedstatesassetmanagement",,,,,,,,,,,
unilever,,london,unitedkingdom,,,2 september 1929,"148,012",alan w jope,89.86 billion,"unitedkingdom, consumerstaples, household&personalproducts, unitedkingdomconsumerstaples, unitedkingdomhousehold&personalproducts",,,,,,,,,,,
international business machines corporation,,armonk,ny,,,"june 16, 1911","282,100",arvind krishna,119200000000,"unitedstates, technology, informationtechnologyservices, unitedstatestechnology, unitedstatesinformationtechnologyservices",,,,,,,,,,,
anthem inc,,indianapolis,in,,,anthem and wellpoint health networks merger in 2004,"98,200",gail koziara boudreaux,119800000000,"unitedstates, healthcare, healthcareplans, unitedstateshealthcare, unitedstateshealthcareplans",,,,,,,,,,,
applied materials,,santaclara,ca,,,"november 10, 1967","28,500",gary e dickerson,121120000000,"unitedstates, technology, semiconductorequipment&materials, unitedstatestechnology, unitedstatessemiconductorequipment&materials",,,,,,,,,,,
prologis,,sanfrancisco,ca,,,1983,"2,053",hamid r moghadam,121200000000,"unitedstates, realestate, reitindustrial, unitedstatesrealestate, unitedstatesreitindustrial",,,,,,,,,,,
dior,,paris,france,,,,"119,243",sidney toledano,110.51 billion,"france, consumerdiscretionary, luxurygoods, franceconsumerdiscretionary, franceluxurygoods",,,,,,,,,,,
equinor asa,,stavanger,norway,,,14 june 1972,"21,126",anders opedal,kr1.074 trillion,"energy, oil&gasintegrated",,,,,,,,,,,
