name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
metlife inc,,,,,,"  march 24, 1868","  49,000",michel abbas khalaf,,,,,,,,,,,,,
general motors company,,,,,,"  september 16, 1908","  157,000",mary t barra,,,,,,,,,,,,,
sea limited,,,,,,,"  29,800",xiaodong li,,,,,,,,,,,,,
uber technologies inc,,,,,,  march 2009,"  29,300",dara khosrowshahi,,,,,,,,,,,,,
moody's corporation,,,,,,  1909 ,"  13,460",robert scott fauber,,,,,,,,,,,,,
nintendo co ltd,,,,,,,"  6,574",,,,,,,,,,,,,,
pioneer natural resources company,,,,,,  1997,"  1,932",scott douglas sheffield,,,,,,,,,,,,,
eaton corporation plc,,,,,,  1911,"  85,947",craig arnold,,,,,,,,,,,,,
analog devices inc,,,,,,"  cambridge, massachusetts, united states 1965","  24,700",vincent t roche,,,,,,,,,,,,,
fidelity national information services inc,,,,,,  1968,"  65,000",gary adam norcross,,,,,,,,,,,,,
banco santander sa,,,,,,  15 may 1857,"  177,033",jose antonio alvarez alvarez,,,,,,,,,,,,,
hapag-lloyd ag,,,,,,,"  14,106",rolf habben jansen,,,,,,,,,,,,,
adyen nv,,,,,,,"  2,180",pieter willem van der does,,,,,,,,,,,,,
atlas copco ab,,,,,,,"  42,862",mats rahmstram,,,,,,,,,,,,,
cnooc limited,,,,,,  august 1999,"  18,151",keqiang xu,,,,,,,,,,,,,
nutrien ltd,,,,,,,"  23,500",kenneth a seitz,,,,,,,,,,,,,
block inc,,,,,,"  february 14, 2009","  8,521",jack dorsey,,,,,,,,,,,,,
deutsche post ag,,,,,,,"  548,042",frank appel,,,,,,,,,,,,,
netease inc,,,,,,  june 1997,"  18,129",lei ding,,,,,,,,,,,,,
hong kong exchanges & clearing ltd,,,,,,,"  2,146",alejannicolas aguzin,,,,,,,,,,,,,
capital one financial corporation,,,,,,"  july 21, 1994","  50,767",richard d fairbank,,,,,,,,,,,,,
emerson electric co,,,,,,  1890,"  86,700",surendralal lanca karsanbhai,,,,,,,,,,,,,
palo alto networks inc,,,,,,  2005,"  11,527",nikesh arora cfa,,,,,,,,,,,,,
australia and new zealand banking group limited,,,,,,  1 october 1970,"  39,684",shayne cary elliott bcom bcom,,,,,,,,,,,,,
reckitt benckiser group plc,,,,,,  1814,"  43,000",,,,,,,,,,,,,,
nongfu spring co ltd,,,,,,,"  20,773",,,,,,,,,,,,,,
saudi telecom company,,,,,,,,,,,,,,,,,,,,,
southern copper corporation,,,,,,  1952,"  14,700",oscar gonzalez rocha,,,,,,,,,,,,,
shenzhen mindray bio-medical electronics co ltd,,,,,,,"  11,833",,,,,,,,,,,,,,
vinci sa,,,,,,,"  218,569",xavier m p huillard,,,,,,,,,,,,,
workday inc,,,,,,  march 2005,"  15,200",aneel bhusri,,,,,,,,,,,,,
relx plc,,,,,,  1993,"  33,500",erik engstrom,,,,,,,,,,,,,
marvell technology group ltd,,,,,,  1995,"  6,695",matthew j murphy,,,,,,,,,,,,,
air products and chemicals inc,,,,,,  1940,"  20,000",seifollah ghasemi,,,,,,,,,,,,,
pernod ricard sa,,,,,,,"  18,500",alexanricard,,,,,,,,,,,,,
schlumberger limited,,,,,,  1926,"  92,000",olivier le peuch,,,,,,,,,,,,,
marvell technology inc,,,,,,,"  6,695",matthew j murphy,,,,,,,,,,,,,
itau unibanco holding sa,,,,,,,"  99,600",milton maluhy filho,,,,,,,,,,,,,
enterprise products partners lp,,,,,,  1968,"  7,000",a james teague,,,,,,,,,,,,,
foshan haitian flavouring and food company ltd,,,,,,,"  6,058",,,,,,,,,,,,,,
mitsubishi corp,,,,,,,,takehiko kakiuchi,,,,,,,,,,,,,
canadian imperial bank of commerce,,,,,,"  june 1, 1961","  46,030",victor g dodig,,,,,,,,,,,,,
marriott international inc,,,,,,"  march 5, 1927","  120,000",anthony g capuano jr,,,,,,,,,,,,,
pinduoduo,,,,,,,"  7,986",lei chen,,,,,,,,,,,,,
ihs markit ltd,,,,,,  1959,"  16,000",,,,,,,,,,,,,,
the saudi national bank,,,,,,,"  16,113",saeed bin mohammed a al-ghamdi,,,,,,,,,,,,,
tc energy corporation,,,,,,,"  7,017",francois lionel poirier,,,,,,,,,,,,,
humana inc,,,,,,"  august 18, 1961","  95,500",bruce dale broussard,,,,,,,,,,,,,
kla corporation,,,,,,  1997,"  11,300",richard p wallace,,,,,,,,,,,,,
bank of communications co ltd,,,,,,,"  90,238",,,,,,,,,,,,,,
bayerische motoren werke ag,,,,,,,"  118,909",oliver zipse,,,,,,,,,,,,,
macquarie group limited,,,,,,  1969,"  17,209",shemara r wikramanayake bcom llb llb bcom unsw,,,,,,,,,,,,,
national grid plc,,,,,,  1990,"  23,683",,,,,,,,,,,,,,
daikin industriesltd,,,,,,,"  84,870",masanori togawa,,,,,,,,,,,,,
chugai pharmaceutical co ltd,,,,,,,"  7,664",osamu okuda,,,,,,,,,,,,,
keurig pepper inc,,,,,,  1981,"  27,500",robert j gamgort,,,,,,,,,,,,,
ergo science corp,,,,,,,,,,,,,,,,,,,,,
