name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
marvell technology group ltd,"hamilton,bermuda",bermuda,, 1995," 6,695",matthew j murphy,,58360000000,,,                                        technology                                    ,,
relx plc,"london,unitedkingdom",united kingdom,, 1993," 33,500",erik engstrom,,58530000000,,,communication services,,
workday inc,"pleasanton,ca,unitedstates",united states,, march 2005," 15,200",aneel bhusri,,58700000000,,,technology,,
vinci sa,"rueil-malmaison,france",france,,," 218,569",xavier m p huillard,,59010000000,,,industrials,,
shenzhen mindray bio-medical electronics co ltd,"shenzhen,china",china,,," 11,833",,,59260000000,,,healthcare,,
southern copper corporation,"phoenix,az,unitedstates",united states,, 1952," 14,700",oscar gonzalez rocha,,59460000000,,,basic materials,,
saudi telecom company,"riyadh,saudiarabia",saudi arabia,,,,,,59470000000,,,communication services,,
nongfu spring co ltd,"hangzhou,china",china,,," 20,773",,,59500000000,,,consumer staples,,
reckitt benckiser group plc,"slough,unitedkingdom",united kingdom,, 1814," 43,000",,,59530000000,,,consumer staples,,
australia and new zealand banking group limited,"melbourne,vic,australia",australia,, 1 october 1970," 39,684",shayne cary elliott bcom bcom,,59550000000,,,financials,,
palo alto networks inc,"santaclara,ca,unitedstates",united states,, 2005," 11,527",nikesh arora cfa,,59650000000,,,technology,,
emerson electric co,"saintlouis,mo,unitedstates",united states,, 1890," 86,700",surendralal lanca karsanbhai,,59660000000,,,industrials,,
capital one financial corporation,"mclean,va,unitedstates",united states,," july 21, 1994"," 50,767",richard d fairbank,,59670000000,,,financials,,
hong kong exchanges & clearing ltd,"central,hongkong",hong kong,,," 2,146",alejannicolas aguzin,,59750000000,,,financials,,
netease inc,"hangzhou,china",china,, june 1997," 18,129",lei ding,,59760000000,,,communication services,,
deutsche post ag,"bonn,germany",germany,,," 548,042",frank appel,,59800000000,,,industrials,,
block inc,"sanfrancisco,ca,unitedstates",united states,," february 14, 2009"," 8,521",jack dorsey,,59950000000,,,technology,,
nutrien ltd,"saskatoon,sk,canada",canada,,," 23,500",kenneth a seitz,,60060000000,,,basic materials,,
cnooc limited,"central,hongkong",hong kong,, august 1999," 18,151",keqiang xu,,60190000000,,,energy,,
atlas copco ab,"nacka,sweden",sweden,,," 42,862",mats rahmstram,,60970000000,,,industrials,,
adyen nv,"amsterdam,netherlands",netherlands,,," 2,180",pieter willem van der does,,61110000000,,,technology,,
hapag-lloyd ag,"hamburg,germany",germany,,," 14,106",rolf habben jansen,,61460000000,,,industrials,,
