name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
omv group,,"vienna, austria",,,1956,,,,,,42,,,,,
swiss life holding,,"zurich, switzerland",,,1857,,,,,,23,,,,,
bank of shanghai,,"shanghai, china",,,1995,,,,,,15,,,,,
american tower,,"boston, massachusetts",,,1995,,,,,,9,,,,,
pioneer natural resources,,"irving, texas",,,1997,,,,,,17,,,,,
sun hung kai properties,,"hong kong, hong kong",,,1963,,,,,,10,,,,,
wanhua chemical group,,"yantai, china",,,1998,,,,,,22,,,,,
sampo,,"helsinki, finland",,,1909,,,,,,15,,,,,
china merchants shekou industrial zone holdings,,"shenzhen, china",,,,,,,,,23,,,,,
haier smart home,,"shangdong, china",,,1984,,,,,,35,,,,,
eaton,,"dublin, ireland",,,1911,,,,,,19,,,,,
sk,,"seoul, south korea",,,1962,,,,,,85,,,,,
johnson controls international,,"cork, ireland",,,1885,,,,,,24,,,,,
jbs,,"vila jaguara, brazil",,,1953,,,,,,65,,,,,
saudi telecom,,"riyadh, saudi arabia",,,1998,,,,,,16,,,,,
jardine matheson,,"hamilton, bermuda",,,1832,,,,,,35,,,,,
canadian national railway,,"montreal, canada",,,1832,,,,,,11,,,,,
stryker,,"kalamazoo, michigan",,,1941,,,,,,17,,,,,
nokia,,"espoo, finland",,,1865,,,,,,26,,,,,
mitsubishi electric,,"tokyo, japan",,,1921,,,,,,40,,,,,
nissan motor,,"yokohama, japan",,,1933,,,,,,79,,,,,
tata steel,,"mumbai, india",,,1907,,,,,,31,,,,,
heineken,,"amsterdam, netherlands",,,1864,,,,,,25,,,,,
bae systems,,"farnborough, united kingdom",,,1999,,,,,,26,,,,,
etisalat,,"abu dhabi, united arab emirates",,,2004,,,,,,14,,,,,
bt group,,"london, united kingdom",,,1980,,,,,,28,,,,,
ctbc financial,,"taipei, taiwan",,,1966,,,,,,14,,,,,
novatek,,"moscow, russia",,,1994,,,,,,15,,,,,
greenland holdings group,,"shanghai, china",,,,,,,,,84,,,,,
rwe group,,"essen, germany",,,1898,,,,,,29,,,,,
daikin industries,,"osaka, japan",,,1924,,,,,,26,,,,,
aegon,,"the hague, netherlands",,,1844,,,,,,26,,,,,
