name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
daw se,ober-ramstadt,,,,1895,"5,688",,,,industrial manufacturing,,,,,,private
herrenknecht group,schwanau,,,,1977,"5,426",,,,industrial manufacturing,,,,,,private
rosenberger gmbh & co kg,fridolfing,,,,1958,"11,000",,,,financial services,,,,,,private
bofrost stiftung,straelen,,,,1966,"11,019",,,,foods and beverages,,,,,,private
auktion & markt ag,wiesbaden,,,,1988,281,,,,retail,,,,,,private
depenbrock group,stemwede,,,,1928,560,,,,industrial manufacturing,,,,,,private
hoffmann group,munchen,,,,1919,"3,300",,,,financial services,,,,,,private
papier - mettler inhaber michael mettler,morbach,,,,1957,"3,900",,,,industrial manufacturing,,,,,,private
johannes heidenhain gmbh,traunreut,,,,1889,"7,915",,,,technology,,,,,,private
hoyer gmbh internationale fachspedition,hamburg,,,,1946,"6,032",,,,transportation and logistics,,,,,,private
beiselen holding gmbh,ulm,,,,1890,700,,,,financial services,,,,,,private
ego blanc und fischer & co gmbh,oberderdingen,,,,1925,"6,000",,,,technology,,,,,,private
cts eventim ag & co kgaa,bremen,,,,1989,"2,945",,,,media and entertainment,,,,,,public
biesterfeld ag,hamburg,,,,1906,800,,,,industrial manufacturing,,,,,,private
borbet gmbh,hallenberg-hesborn,,,,1881,"4,800",,,,automotive,,,,,,private
hirschvogel holding gmbh,denklingen,,,,1938,"5,481",,,,automotive,,,,,,private
sudwest beteiligungen gmbh,eberbach,,,,1900,"1,700",,,,industrial manufacturing,,,,,,private
wernsing food family gmbh & co kg,addrup-e en,,,,1962,"3,550",,,,foods and beverages,,,,,,private
guhring kg,albstadt,,,,1898,"8,000",,,,industrial manufacturing,,,,,,private
ehg service gmbh,coesfeld,,,,1968,"12,000",,,,retail,,,,,,private
berner se,kunzelsau,,,,1957,"8,500",,,,industrial manufacturing,,,,,,private
koster group,osnabruck,,,,1938,"1,663",,,,industrial manufacturing,,,,,,private
otto bock holding gmbh & cokg,duderstadt,,,,1919,"7,819",,,,industrial manufacturing,,,,,,private
katag ag,bielefeld,,,,1923,300,,,,consumer products,,,,,,private
merz holding gmbh & cokg,frankfurt am main,,,,1908,"3,300",,,,pharmaceuticals and life sciences,,,,,,private
hansen & rosenthal kg,hamburg,,,,1919,"1,634",,,,industrial manufacturing,,,,,,public
siegwerk gmbh & co kg,siegburg,,,,1830,"4,991",,,,industrial manufacturing,,,,,,private
schnellecke group ag & co kg,wolfsburg,,,,1939,"16,112",,,,transportation and logistics,,,,,,private
conrad holding se,hirschau,,,,1923,"2,314",,,,retail,,,,,,private
