name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
cintra,madrid,,,,,1998,,,,,heavy construction,industrials,,,,,,,,,
cepsa,madrid,,,,,1929,,,,,exploration & production,oil & gas,,,,,,,,,
compania logistica de hidrocarburos,madrid,,,,,1927,,,,,oil & gas distribution,utilities,,,,,,,,,
construcciones aeronauticas sa,madrid,,,,,1923,,,,,aerospace,industrials,,,,,,,,,
construcciones y auxiliar de ferrocarriles,beasain,,,,,1917,,,,,commercial vehicles & trucks,industrials,,,,,,,,,
copisa,barcelona,,,,,1959,,,,,heavy construction,industrials,,,,,,,,,
correos,madrid,,,,,1716,,,,,delivery services,industrials,,,,,,,,,
cortefiel,madrid,,,,,1880,,,,,apparel retailers,consumer services,,,,,,,,,
cupra,martorell,,,,,2018,,,,,automobiles,consumer goods,,,,,,,,,
curaxys,cadiz,,,,,2009,,,,,biotechnology,health care,,,,,,,,,
deoleo,cordoba,,,,,1955,,,,,food products,consumer goods,,,,,,,,,
