name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
novatek,,"moscow, russia",,1994,,,,,,,,,
greenland holdings group,,"shanghai, china",,,,,,,,,,,
rwe group,,"essen, germany",,1898,,,,,,,,,
daikin industries,,"osaka, japan",,1924,,,,,,,,,
aegon,,"the hague, netherlands",,1844,,,,,,,,,
baidu,,"beijing, china",,2000,,,,,,,,,
ericsson,,"stockholm, sweden",,1876,,,,,,,,,
canon,,"tokyo, japan",,1937,,,,,,,,,
lennar,,"miami, florida",,1954,,,,,,,,,
bank of nanjing,,"nanjing, china",,1996,,,,,,,,,
philips,,"amsterdam, netherlands",,1891,,,,,,,,,
keurig pepper,,"plano, texas",,2018,,,,,,,,,
china yangtze power,,"beijing, china",,2002,,,,,,,,,
dnb bank,,"oslo, norway",,2003,,,,,,,,,
emerson electric,,"st. louis, missouri",,1890,,,,,,,,,
imperial brands,,"bristol, united kingdom",,1901,,,,,,,,,
boeing,,"arlington, virginia",,1916,,,,,,,,,
general mills,,"minneapolis, minnesota",,1866,,,,,,,,,
axis bank,,"mumbai, india",,1993,,,,,,,,,
national bank of canada,,"montreal, canada",,1979,,,,,,,,,
the estee lauder companies,,"new york, new york",,1946,,,,,,,,,
cnh industrial,,"london, united kingdom",,1996,,,,,,,,,
fairfax financial,,"toronto, canada",,1951,,,,,,,,,
adidas,,"herzogenaurach, germany",,1949,,,,,,,,,
michelin group,,"clermont-ferrand, france",,1889,,,,,,,,,
norfolk southern,,"atlanta, georgia",,1883,,,,,,,,,
principal financial group,,"des moines, iowa",,1879,,,,,,,,,
sempra,,"san diego, california",,1998,,,,,,,,,
fortum,,"espoo, finland",,1998,,,,,,,,,
grupo mexico,,"mexico city, mexico",,1942,,,,,,,,,
dr horton,,"arlington, texas",,1978,,,,,,,,,
l3harris technologies,,"melbourne, florida",,2019,,,,,,,,,
naspers,,"cape town, south africa",,1915,,,,,,,,,
standard bank group,,"johannesburg, south africa",,1862,,,,,,,,,
tc energy,,"calgary, canada",,1951,,,,,,,,,
norilsk nickel,,"moscow, russia",,1993,,,,,,,,,
naturgy energy group,,"barcelona, spain",,1843,,,,,,,,,
henkel,,"dusseldorf, germany",,1876,,,,,,,,,
mediatek,,"hsinchu, taiwan",,1997,,,,,,,,,
recruit holdings,,"tokyo, japan",,1960,,,,,,,,,
hengli petrochemical,,"dalian, china",,1999,,,,,,,,,
xcel energy,,"minneapolis, minnesota",,1909,,,,,,,,,
corteva,,"wilmington, delaware",,2019,,,,,,,,,
synchrony financial,,"stamford, connecticut",,2003,,,,,,,,,
toyota tsusho,,"nagoya, japan",,1948,,,,,,,,,
toyota industries,,"kariya, japan",,1926,,,,,,,,,
astrazeneca,,"cambridge, united kingdom",,1999,,,,,,,,,
sunac china holdings,,"tianjin, china",,2003,,,,,,,,,
china evergrande group,,"shenzhen, china",,2006,,,,,,,,,
bridgestone,,"tokyo, japan",,1931,,,,,,,,,
emirates nbd,,"dubai, united arab emirates",,1963,,,,,,,,,
daiwa house industry,,"osaka, japan",,1947,,,,,,,,,
jdcom,,"beijing, china",,1998,,,,,,,,,
kinder morgan,,"houston, texas",,1997,,,,,,,,,
china national building,,"beijing, china",,2005,,,,,,,,,
firstrand,,"johannesburg, south africa",,1966,,,,,,,,,
carrefour,,"massy, france",,1959,,,,,,,,,
fujitsu,,"tokyo, japan",,1935,,,,,,,,,
seb ab,,"stockholm, sweden",,1972,,,,,,,,,
surgutneftegas,,"surgut, russia",,1990,,,,,,,,,
new china life insurance,,"beijing, china",,1996,,,,,,,,,
barrick gold,,"toronto, canada",,1983,,,,,,,,,
dsv panalpina,,"hedehusene, denmark",,1976,,,,,,,,,
talanx,,"hannover, germany",,1990,,,,,,,,,
