name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
michelin italiana sami spa,,,,,,,,,,,,,,,"corso giulio cesare 424/95/c, torino, 10156, torino, italy",corporation
brt spa,,,,,,,,,,,,,,,"via enrico mattei 42, bologna, 40138, bologna, italy",corporation
de' longhi appliances srl,,,,,,,,,,,,,,,"via lodovico seitz 47, treviso, 31100, treviso, italy",corporation
ford italia spa,,,,,,,,,,,,,,,"via del serafico 89, roma, 00142, roma, italy",corporation
sofida spa,,,,,,,,,,,,,,,"contrada della misericordia 14, vicenza, 36100, vicenza, italy",corporation
arianna 2001 spa,,,,,,,,,,,,,,,"via leopoldo serra 32, roma, 00153, roma, italy",corporation
recordati industria chimica e farmaceutica spa,,,,,,,,,,,,,,,"via matteo civitali 1, milano, 20148, milano, italy",corporation
leroy merlin italia srl,,,,,,,,,,,,,,,"strada 8 palazzo n milanofiori, rozzano, 20089, milano, italy",corporation
vittoria assicurazioni spa,,,,,,,,,,,,,,,"via ignazio gardella 2, milano, 20149, milano, italy",corporation
vanini holding srl,,,,,,,,,,,,,,,"via ansperto 7, milano, 20123, milano, italy",corporation
fedrigoni spa,,,,,,,,,,,,,,,"via enrico fermi 13/f, verona, 37135, verona, italy",corporation
gruppo ipg holding spa,,,,,,,,,,,,,,,"viale bianca maria 24, milano, 20129, milano, italy",corporation
bg holding srl,,,,,,,,,,,,,,,"via borgonuovo 14, milano, 20121, milano, italy",corporation
burgo group spa,,,,,,,,,,,,,,,"via piave 1, altavilla vicentina, 36077, vicenza, italy",corporation
gruppo lactalis italia srl,,,,,,,,,,,,,,,"via flavio gioia 8, milano, 20149, milano, italy",corporation
megaholding srl,,,,,,,,,,,,,,,"strada provinciale 130 andria-trani, trani, 76125, barletta andria trani, italy",corporation
betflag spa,,,,,,,,,,,,,,,"zona industriale di baragiano snc, balvano, 85050, potenza, italy",corporation
computer gross spa,,,,,,,,,,,,,,,"via del pino 1, empoli, 50053, firenze, italy",corporation
publitalia 80 concessionaria pubblicita' spa,,,,,,,,,,,,,,,"viale europa 46, cologno monzese, 20093, milano, italy",corporation
papiniano spa,,,,,,,,,,,,,,,"via guglielmo marconi 36, bologna, 40122, bologna, italy",corporation
ies italiana energia e servizi spa,,,,,,,,,,,,,,,"strada cipata 79, mantova, 46100, mantova, italy",corporation
commercianti indipendenti associati soc coop,,,,,,,,,,,,,,,"via dei mercanti 3, forli', 47122, forli'-cesena, italy",corporation
casillo partecipazioni spa,,,,,,,,,,,,,,,"via antonio sant'elia, corato, 70033, bari, italy",corporation
otb spa,,,,,,,,,,,,,,,"via dell'industria 2, breganze, 36042, vicenza, italy",corporation
ansaldo energia spa,,,,,,,,,,,,,,,"via nicola lorenzi 8, genova, 16152, genova, italy",corporation
romeo gas spa,,,,,,,,,,,,,,,"via verizzo 1030, pieve di soligo, 31053, treviso, italy",corporation
sg distribuzione srl,,,,,,,,,,,,,,,"via giorgio perlasca 20/c, fidenza, 43036, parma, italy",corporation
radicifin sapa,,,,,,,,,,,,,,,"via giuseppe verdi 11, bergamo, 24121, bergamo, italy",corporation
alpha trading spa,,,,,,,,,,,,,,,"via brigata liguria 3/19, genova, 16121, genova, italy",corporation
credit agricole italia spa,,,,,,,,,,,,,,,"strada dell'universita' 1, parma, 43121, parma, italy",corporation
manpower srl,,,,,,,,,,,,,,,"via gioacchino rossini 6/8, milano, 20122, milano, italy",corporation
bennet holding spa,,,,,,,,,,,,,,,"piazza della repubblica 28, milano, 20124, milano, italy",corporation
finmeg srl,,,,,,,,,,,,,,,"piazza della repubblica 28, milano, 20124, milano, italy",corporation
bennet spa,,,,,,,,,,,,,,,"via enzo ratti 2, montano lucino, 22070, como, italy",corporation
servizi in rete 2001 srl,,,,,,,,,,,,,,,"via leopoldo serra 32, roma, 00153, roma, italy",corporation
cosulich international srl,,,,,,,,,,,,,,,"ponte francesco morosini 41, genova, 16126, genova, italy",corporation
fratelli cosulich spa,,,,,,,,,,,,,,,"via dante alighieri 5, trieste, 34122, trieste, italy",corporation
dolomiti energia trading spa,,,,,,,,,,,,,,,"via fersina 23, trento, 38123, trento, italy",corporation
ferrero commerciale italia srl,,,,,,,,,,,,,,,"piazzale pietro ferrero 1, alba, 12051, cuneo, italy",corporation
arcelormittal commercial italy srl,,,,,,,,,,,,,,,"zona industriale snc, luogosano, 83040, avellino, italy",corporation
arval service lease italia spa,,,,,,,,,,,,,,,"via delle sette regole 21, scandicci, 50018, firenze, italy",corporation
reti televisive italiane spa,,,,,,,,,,,,,,,"viale europa 44/46 48, cologno monzese, 20093, milano, italy",corporation
caltagirone spa,,,,,,,,,,,,,,,"via barberini 28, roma, 00187, roma, italy",corporation
nexi payments spa,,,,,,,,,,,,,,,"corso sempione 55, milano, 20149, milano, italy",corporation
unicomm srl,,,,,,,,,,,,,,,"via adele bei 340, cesena, 47522, forli'-cesena, italy",corporation
hdi assicurazioni spa,,,,,,,,,,,,,,,"piazza guglielmo marconi 25, roma, 00144, roma, italy",corporation
iper montebello spa,,,,,,,,,,,,,,,"via marco ulpio traiano 57, milano, 20149, milano, italy",corporation
egea ente gestione energia e ambiente spa,,,,,,,,,,,,,,,"via vivaro 2, alba, 12051, cuneo, italy",corporation
sdf spa,,,,,,,,,,,,,,,"viale francesco cassani 14, treviglio, 24047, bergamo, italy",corporation
reply spa,,,,,,,,,,,,,,,"via cardinale guglielmo massaia 83, torino, 10147, torino, italy",corporation
sdf holding spa,,,,,,,,,,,,,,,"via xx settembre 58/c, bergamo, 24122, bergamo, italy",corporation
compagnia siderurgica italiana srl,,,,,,,,,,,,,,,"zona industriale, osoppo, 33010, udine, italy",corporation
finfer spa,,,,,,,,,,,,,,,"zona industriale snc, osoppo, 33010, udine, italy",corporation
credemvita spa,,,,,,,,,,,,,,,"via luigi sani 1, reggio emilia, 42121, reggio emilia, italy",corporation
ge italia holding srl,,,,,,,,,,,,,,,"via i maggio 99, rivalta di torino, 10040, torino, italy",corporation
alperia smart services srl,,,,,,,,,,,,,,,"via dodiciville 8, bolzano, 39100, bolzano, italy",corporation
ovs spa,,,,,,,,,,,,,,,"via terraglio 17, venezia, 30174, venezia, italy",corporation
candy hoover group srl,,,,,,,,,,,,,,,"via eden fumagalli, brugherio, 20861, monza e brianza, italy",corporation
francesco spa,,,,,,,,,,,,,,,"via del rio 400, cesena, 47522, forli'-cesena, italy",corporation
amadori spa,,,,,,,,,,,,,,,"piazza borromeo 14, milano, 20123, milano, italy",corporation
