name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
harmony biosciences,,usa,,,,,,,2950000000.0,pharmaceuticals biotech ,,,,,49.0,,,,,,
bancfirst,,usa,,,,,,,2960000000.0,banks financial-services ,,,,,90.0,,,,,,
viva energy,,australia,,,,,,,2950000000.0,oil-gas energy ,,,,,1.0,,,,,,
prospect capital,,usa,,,,,,,2960000000.0,investment ,,,,,7.0,,,,,,
maxlinear,,usa,,,,,,,2960000000.0,,,,,,37.0,,,,,,
sma solar technology,,germany,,,,,,,2980000000.0,,,,,,85.0,,,,,,
highpeak energy,,usa,,,,,,,2960000000.0,oil-gas energy ,,,,,26.0,,,,,,
prothena,,ireland,,,,,,,2950000000.0,pharmaceuticals biotech ,,,,,57.0,,,,,,
siegfried holding,,switzerland,,,,,,,2970000000.0,pharmaceuticals biotech ,,,,,700.0,,,,,,
kinaxis,,canada,,,,,,,2980000000.0,software tech ,,,,,107.0,,,,,,
intercorp financial services,,,,,,,,,2970000000.0,financial-services insurance ,,,,,25.0,,,,,,
shangri-la,,hong-kong,,,,,,,2980000000.0,hotels travel ,,,,,0.0,,,,,,
evo payments,,usa,,,,,,,2980000000.0,financial-services tech ,,,,,33.0,,,,,,
suntec reit,,singapore,,,,,,,2970000000.0,real-estate investment reit ,,,,,1.0,,,,,,
inmode,,israel,,,,,,,2960000000.0,,,,,,35.0,,,,,,
conmed,,usa,,,,,,,2960000000.0,medical-devices ,,,,,97.0,,,,,,
growthpoint properties,,south-africa,,,,,,,2970000000.0,real-estate investment reit ,,,,,0.0,,,,,,
yuhan,,south-korea,,,,,,,3010000000.0,pharmaceuticals biotech chemicals ,,,,,42.0,,,,,,
ggroup,,india,,,,,,,3010000000.0,,,,,,0.0,,,,,,
papa john's pizza,,usa,,,,,,,2980000000.0,pizza food restaurant-chains ,,,,,84.0,,,,,,
hisense visual technology,,china,,,,,,,3020000000.0,electronics tech tech-hardware ,,,,,2.0,,,,,,
graham holdings,,usa,,,,,,,3020000000.0,media-press ,,,,,629.0,,,,,,
freshpet,,usa,,,,,,,3020000000.0,food ,,,,,62.0,,,,,,
viscofan,,spain,,,,,,,3000000000.0,,,,,,65.0,,,,,,
ats automation,,canada,,,,,,,2990000000.0,,,,,,32.0,,,,,,
samsung heavy industries,,south-korea,,,,,,,3000000000.0,,,,,,147.0,,,,,,
marel,,,,,,,,,3000000000.0,food ,,,,,3.0,,,,,,
archaea energy,,usa,,,,,,,3010000000.0,energy renewable-energy ,,,,,26.0,,,,,,
federal signal,,usa,,,,,,,3020000000.0,,,,,,49.0,,,,,,
cnx resources,,usa,,,,,,,3020000000.0,,,,,,16.0,,,,,,
nomad foods,,united-kingdom,,,,,,,3000000000.0,food ,,,,,17.0,,,,,,
pierer mobility,,,,,,,,,3000000000.0,motorcycle-manufacturers ,,,,,85.0,,,,,,
mainova,,germany,,,,,,,3010000000.0,utility-companies energy electricity ,,,,,548.0,,,,,,
bic,,france,,,,,,,3020000000.0,,,,,,69.0,,,,,,
syngene international,,india,,,,,,,3020000000.0,,,,,,7.0,,,,,,
guoco,,hong-kong,,,,,,,3030000000.0,investment ,,,,,9.0,,,,,,
squarespace,,usa,,,,,,,3030000000.0,tech internet software ,,,,,22.0,,,,,,
amot investment,,israel,,,,,,,3040000000.0,real-estate investment ,,,,,6.0,,,,,,
softcat,,united-kingdom,,,,,,,3040000000.0,it-security it-services tech ,,,,,15.0,,,,,,
livanova,,united-kingdom,,,,,,,3030000000.0,medical-devices ,,,,,56.0,,,,,,
multichoice group,,south-africa,,,,,,,3040000000.0,media-press entertainment ,,,,,7.0,,,,,,
rajesh exports,,india,,,,,,,3020000000.0,retail luxury-goods ,,,,,10.0,,,,,,
abm industries,,usa,,,,,,,3020000000.0,,,,,,46.0,,,,,,
vienna airport,,,,,,,,,3030000000.0,airports infrastructure ,,,,,36.0,,,,,,
pjt partners,,usa,,,,,,,3040000000.0,,,,,,76.0,,,,,,
main street capital,,usa,,,,,,,3030000000.0,,,,,,39.0,,,,,,
ingevity,,usa,,,,,,,3020000000.0,,,,,,80.0,,,,,,
axsome therapeutics,,usa,,,,,,,3030000000.0,pharmaceuticals biotech ,,,,,69.0,,,,,,
texas capital bancshares,,usa,,,,,,,3040000000.0,financial-services banks ,,,,,61.0,,,,,,
comstock resources,,usa,,,,,,,3050000000.0,oil-gas energy ,,,,,13.0,,,,,,
kumho petrochemical,,south-korea,,,,,,,3050000000.0,chemicals ,,,,,118.0,,,,,,
privia health group,,usa,,,,,,,3070000000.0,healthcare ,,,,,26.0,,,,,,
premium brands,,canada,,,,,,,3070000000.0,food ,,,,,68.0,,,,,,
wienerberger,,,,,,,,,3050000000.0,building-materials ,,,,,28.0,,,,,,
sabra health care reit,,usa,,,,,,,3060000000.0,real-estate investment reit ,,,,,13.0,,,,,,
epr properties,,usa,,,,,,,3060000000.0,,,,,,40.0,,,,,,
makemytrip,,india,,,,,,,3080000000.0,travel internet online-travel tech ,,,,,29.0,,,,,,
iluka resources,,australia,,,,,,,3080000000.0,mining ,,,,,7.0,,,,,,
aci worldwide,,usa,,,,,,,3050000000.0,,,,,,27.0,,,,,,
hostess brands,,usa,,,,,,,3060000000.0,food ,,,,,22.0,,,,,,
linamar,,canada,,,,,,,3070000000.0,manufacturing ,,,,,49.0,,,,,,
kb home,,usa,,,,,,,3060000000.0,construction ,,,,,35.0,,,,,,
santen pharmaceutical,,japan,,,,,,,3070000000.0,pharmaceuticals ,,,,,7.0,,,,,,
nordic semiconductor,,norway,,,,,,,3050000000.0,semiconductors tech ,,,,,16.0,,,,,,
ovh groupe,,france,,,,,,,3060000000.0,internet tech telecommunication software ,,,,,16.0,,,,,,
stroer,,germany,,,,,,,3090000000.0,,,,,,54.0,,,,,,
abcellera,,canada,,,,,,,3080000000.0,biotech pharmaceuticals ,,,,,10.0,,,,,,
eastern bankshares,,usa,,,,,,,3090000000.0,banks financial-services ,,,,,17.0,,,,,,
alvotech,,,,,,,,,3080000000.0,biotech pharmaceuticals ,,,,,12.0,,,,,,
cd projekt,,poland,,,,,,,3090000000.0,video-games tech ,,,,,31.0,,,,,,
exxaro resources,,south-africa,,,,,,,3090000000.0,mining coal-mining energy ,,,,,12.0,,,,,,
kansai paint,,japan,,,,,,,3080000000.0,chemicals paint-and-coating ,,,,,13.0,,,,,,
lion corp,,japan,,,,,,,3090000000.0,consumer-goods ,,,,,10.0,,,,,,
pagseguro,,brazil,,,,,,,3080000000.0,,,,,,9.0,,,,,,
amp limited,,australia,,,,,,,3080000000.0,asset-management investment ,,,,,0.0,,,,,,
national vision holdings,,usa,,,,,,,3090000000.0,,,,,,39.0,,,,,,
lxp industrial trust,,usa,,,,,,,3090000000.0,,,,,,11.0,,,,,,
ultragenyx,,usa,,,,,,,3100000000.0,pharmaceuticals biotech ,,,,,44.0,,,,,,
enel chile,,chile,,,,,,,3100000000.0,utility-companies electricity energy ,,,,,2.0,,,,,,
avista,,usa,,,,,,,3100000000.0,,,,,,42.0,,,,,,
vz holding,,switzerland,,,,,,,3100000000.0,asset-management financial-services investment ,,,,,79.0,,,,,,
tripadvisor,,usa,,,,,,,3120000000.0,online-travel internet ,,,,,22.0,,,,,,
tower bersama infrastructure,,indonesia,,,,,,,3120000000.0,telecommunication ,,,,,0.0,,,,,,
nextdc,,australia,,,,,,,3100000000.0,it-services tech ,,,,,6.0,,,,,,
frontline,,,,,,,,,3120000000.0,transportation maritime-transportation oil-gas ,,,,,14.0,,,,,,
oil india,,india,,,,,,,3110000000.0,oil-gas energy ,,,,,2.0,,,,,,
boralex,,canada,,,,,,,3110000000.0,energy renewable-energy electricity ,,,,,30.0,,,,,,
cushman & wakefield,,usa,,,,,,,3120000000.0,,,,,,13.0,,,,,,
moelis & company,,usa,,,,,,,3100000000.0,financial-services ,,,,,45.0,,,,,,
phoenix mills,,india,,,,,,,3100000000.0,real-estate ,,,,,17.0,,,,,,
st galler kantonalbank,,switzerland,,,,,,,3120000000.0,banks financial-services ,,,,,522.0,,,,,,
plexus,,usa,,,,,,,3120000000.0,,,,,,113.0,,,,,,
euronav,,belgium,,,,,,,3110000000.0,transportation ,,,,,15.0,,,,,,
mister car wash,,usa,,,,,,,3110000000.0,,,,,,10.0,,,,,,
pegasystems,,usa,,,,,,,3130000000.0,software tech ,,,,,38.0,,,,,,
stoneco,,brazil,,,,,,,3130000000.0,financial-services ,,,,,10.0,,,,,,
chindata,,china,,,,,,,3140000000.0,it-services tech ,,,,,8.0,,,,,,
evolent health,,usa,,,,,,,3130000000.0,healthcare ,,,,,31.0,,,,,,
plains gp,,usa,,,,,,,3130000000.0,oil-gas energy ,,,,,13.0,,,,,,
sig semen indonesia,,indonesia,,,,,,,3140000000.0,cement building-materials ,,,,,0.0,,,,,,
3m india,,india,,,,,,,3130000000.0,glove-ppe ,,,,,278.0,,,,,,
asana,,usa,,,,,,,3150000000.0,software tech ,,,,,14.0,,,,,,
hannon armstrong,,usa,,,,,,,3140000000.0,,,,,,35.0,,,,,,
cooper group,,usa,,,,,,,3150000000.0,,,,,,44.0,,,,,,
cathay general bancorp,,usa,,,,,,,3130000000.0,,,,,,42.0,,,,,,
braze,,usa,,,,,,,3130000000.0,software tech ,,,,,32.0,,,,,,
tata chemicals,,india,,,,,,,3130000000.0,chemicals ,,,,,12.0,,,,,,
strauss group,,israel,,,,,,,3140000000.0,food ,,,,,26.0,,,,,,
sigma lithium,,canada,,,,,,,3140000000.0,mining ,,,,,30.0,,,,,,
equitrans midstream,,usa,,,,,,,3140000000.0,,,,,,7.0,,,,,,
stepan company,,usa,,,,,,,2480000000.0,,,,,,111.0,,,,,,
globalstar,,usa,,,,,,,2500000000.0,telecommunication aerospace ,,,,,1.0,,,,,,
casio,,japan,,,,,,,2490000000.0,electronics manufacturing ,,,,,10.0,,,,,,
qinetiq,,united-kingdom,,,,,,,2470000000.0,defense-contractors ,,,,,4.0,,,,,,
engagesmart,,usa,,,,,,,3150000000.0,software tech ,,,,,19.0,,,,,,
encavis,,germany,,,,,,,3150000000.0,renewable-energy energy electricity ,,,,,19.0,,,,,,
jumbo sa,,,,,,,,,2500000000.0,retail ,,,,,17.0,,,,,,
ihs towers,,united-kingdom,,,,,,,2490000000.0,telecommunication infrastructure ,,,,,7.0,,,,,,
softwareone,,switzerland,,,,,,,2490000000.0,software tech ,,,,,15.0,,,,,,
galapagos nv,,belgium,,,,,,,3150000000.0,pharmaceuticals biotech ,,,,,47.0,,,,,,
jamf,,usa,,,,,,,2490000000.0,software tech ,,,,,20.0,,,,,,
amylyx pharmaceuticals,,usa,,,,,,,2480000000.0,pharmaceuticals biotech ,,,,,37.0,,,,,,
beach energy,,australia,,,,,,,2490000000.0,oil-gas energy ,,,,,1.0,,,,,,
netlink trust,,singapore,,,,,,,2500000000.0,telecommunication ,,,,,0.0,,,,,,
carter's,,usa,,,,,,,3150000000.0,clothing retail ,,,,,82.0,,,,,,
sats,,singapore,,,,,,,2490000000.0,food ,,,,,2.0,,,,,,
piper sandler,,usa,,,,,,,2520000000.0,banks financial-services investment ,,,,,141.0,,,,,,
compagnie plastic omnium,,france,,,,,,,2510000000.0,automotive-suppliers manufacturing ,,,,,17.0,,,,,,
pagerduty,,usa,,,,,,,2510000000.0,,,,,,27.0,,,,,,
win semiconductors,,taiwan,,,,,,,2520000000.0,semiconductors manufacturing tech tech-hardware ,,,,,5.0,,,,,,
bata india,,india,,,,,,,2520000000.0,footwear ,,,,,19.0,,,,,,
corcept therapeutics,,usa,,,,,,,2520000000.0,pharmaceuticals biotech ,,,,,23.0,,,,,,
renew power,,india,,,,,,,2510000000.0,utility-companies renewable-energy energy ,,,,,6.0,,,,,,
