name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
deutsche wohnen se,,germany,,,,,michael zahn,,,real estate,,,,,,
spirax-sarco engineering,,uk,,,,,nicholas j anderson,,,industries,,,,,,
prada,,italy,,,,,miuccia prada,,,consumer cyclical,,,,,,
stora enso oyj,,finland,,,,,annica bresky,,,basic materials,,,,,,
abn abank,,netherlands,,,,,robert swaak,,,financial services,,,,,,
liberty global,,uk,,,,,mike fries,,,communication services,,,,,,
jd sports fashion,,uk,,,,,peter cowgill,,,consumer cyclical,,,,,,
united company rusal,,russia,,,,,evgenii nikitin,,,basic materials,,,,,,
otp bank nyrt,,hungary,,,,,sasndor csanyi,,,financial services,,,,,,
julius bar gruppe ag,,switzerland,,,,,philipp rickenbacher,,,financial services,,,,,,
pjsc tatneft,,russia,,,,,,,,energy,,,,,,
jeronimo martins sgps,,portugal,,,,,pemanuel de castro soares dos santos,,,consumer defensive,,,,,,
smurfit kappa group,,ireland,,,,,anthony smurfit,,,consumer cyclical,,,,,,
pko bank polski en,,poland,,,,,iwona duda,,,financial services,,,,,,
rolls-royce holdings,,uk,,,,,warren east,,,industries,,,,,,
bureau veritas sa,,france,,,,,didier michaud-daniel,,,industries,,,,,,
suez sa,,france,,,,,bertrand camus,,,utilities,,,,,,
hal trust,,monaco,,,,,,,,financial services,,,,,,
vivendi,,france,,,,,arnaud de puyfontaine,,,communication services,,,,,,
kion group ag,,germany,,,,,rob smith,,,industries,,,,,,
next plc,,uk,,,,,simon wolfson,,,consumer cyclical,,,,,,
heidelberg cement ag,,germany,,,,,dominik von achten,,,basic materials,,,,,,
brenntag ag,,germany,,,,,christian kohlpaintner,,,basic materials,,,,,,
bouygues sa,,france,,,,,martin bouygues,,,industries,,,,,,
alstom sa,,france,,,,,henri poupart-lafarge,,,industries,,,,,,
logitech international,,switzerland,,,,,bracken p darrell,,,technology,,,,,,
vat group ag,,switzerland,,,,,michael allison,,,industries,,,,,,
rentokil initial,,uk,,,,,andy ransom,,,industries,,,,,,
ab industrivarden publ,,sweden,,,,,helena stjernholm,,,financial services,,,,,,
aeroports de paris sa,,france,,,,,augustin de romanet,,,industries,,,,,,
l e lundbergforetagen ab publ,,sweden,,,,,fredrik lundberg,,,financial services,,,,,,
sodexo,,france,,,,,denis machuel,,,industries,,,,,,
tenaris,,luxembourg,,,,,paolo rocca,,,energy,,,,,,
entain plc,,uk,,,,,jette nygaard-andersen,,,casinos,,,,,,
lifco ab publ,,sweden,,,,,axel wachtmeister,,,industries,,,,,,
wise plc,,uk,,,,,,,,digital payment solution services,,,,,,
yara international asa,,norway,,,,,,,,basic materials,,,,,,
barry callebaut ag,,switzerland,,,,,,,,consumer defensive,,,,,,
kpn,,netherlands,,,,,,,,communication services,,,,,,
coca-cola hbc ag,,switzerland,,,,,,,,consumer defensive,,,,,,
traton se,,germany,,,,,,,,industries,,,,,,
svenska cellulosa aktiebolaget sca publ,,sweden,,,,,,,,basic materials,,,,,,
randstad,,netherlands,,,,,,,,industries,,,,,,
swedish match ab publ,,sweden,,,,,,,,consumer defensive,,,,,,
fastighets ab balder publ,,sweden,,,,,,,,real estate,,,,,,
recordati industria chimica e farmaceutica,,italy,,,,,,,,healthcare,,,,,,
bunzl,,uk,,,,,,,,consumer defensive,,,,,,
covestro ag,,germany,,,,,,,,basic materials,,,,,,
schroders,,uk,,,,,,,,financial services,,,,,,
kesko oyj,,finland,,,,,,,,consumer defensive,,,,,,
intercontinental hotels group,,uk,,,,,,,,consumer cyclical,,,,,,
aveva group,,uk,,,,,,,,technology,,,,,,
admiral group,,uk,,,,,,,,financial services,,,,,,
mondi,,uk,,,,,,,,basic materials,,,,,,
solvay sa,,belgium,,,,,,,,basic materials,,,,,,
umicore sa,,belgium,,,,,,,,industries,,,,,,
talanx ag,,germany,,,,,,,,financial services,,,,,,
intertek group,,uk,,,,,,,,industries,,,,,,
nemetschek se,,germany,,,,,,,,technology,,,,,,
st james's place,,uk,,,,,,,,financial services,,,,,,
mowi asa,,norway,,,,,,,,consumer defensive,,,,,,
evraz,,uk,,,,,,,,basic materials,,,,,,
persimmon,,uk,,,,,,,,consumer cyclical,,,,,,
edenred sa,,france,,,,,,,,financial services,,,,,,
gjensidige forsikring asa,,norway,,,,,,,,financial services,,,,,,
demant a/s,,denmark,,,,,,,,healthcare,,,,,,
ica gruppen ab publ,,sweden,,,,,,,,consumer defensive,,,,,,
pandora a/s,,denmark,,,,,,,,consumer cyclical,,,,,,
hellofresh se,,germany,,,,,,,,consumer cyclical,,,,,,
aker bp asa,,norway,,,,,,,,energy,,,,,,
ab skf publ,,sweden,,,,,,,,industries,,,,,,
mtu aero engines ag,,germany,,,,,,,,industries,,,,,,
vifor pharma ag,,switzerland,,,,,,,,healthcare,,,,,,
qiagen,,germany,,,,,,,,healthcare,,,,,,
sage group,,uk,,,,,,,,technology,,,,,,
allfunds group plc,,uk,,,,,,,,financial services,,,,,,
alrosa,,russia,,,,,,,,basic materials,,,,,,
allegion,,ireland,,,,,,,,industries,,,,,,
imcd,,netherlands,,,,,,,,basic materials,,,,,,
eurocommercial properties,,netherlands,,,,,,,,real estate,,,,,,
renault sa,,france,,,,,,,,consumer cyclical,,,,,,
remy cointreau sa,,france,,,,,,,,consumer defensive,,,,,,
commerzbank ag,,germany,,,,,,,,financial services,,,,,,
aegon,,netherlands,,,,,,,,financial services,,,,,,
amplifon spa,,italy,,,,,,,,healthcare,,,,,,
informa plc,,uk,,,,,,,,communication services,,,,,,
rational ag,,germany,,,,,,,,industries,,,,,,
grifols,,spain,,,,,,,,healthcare,,,,,,
samhallsbyggnadsbolaget i norden ab publ,,sweden,,,,,,,,real estate,,,,,,
red electrica corporacion,,spain,,,,,,,,utilities,,,,,,
indutrade ab publ,,sweden,,,,,,,,industries,,,,,,
infrastrutture wireless italiane,,italy,,,,,,,,communication services,,,,,,
arkema,,france,,,,,,,,basic materials,,,,,,
farfetch,,uk,,,,,,,,consumer cyclical,,,,,,
international consolidated airlines group,,uk,,,,,,,,industries,,,,,,
getinge ab,,sweden,,,,,,,,healthcare,,,,,,
telecom italia,,italy,,,,,,,,communication services,,,,,,
embracer group ab publ,,sweden,,,,,,,,communication services,,,,,,
finecobank banca fineco,,italy,,,,,,,,financial services,,,,,,
just eat takeawaycom,,netherlands,,,,,,,,retail,,,,,,
kabel deutschland holding ag,,germany,,,,,,,,communication services,,,,,,
skanska ab publ,,sweden,,,,,,,,industries,,,,,,
ageas sa/nv,,belgium,,,,,,,,financial services,,,,,,
lundin energy ab publ,,sweden,,,,,,,,energy,,,,,,
magnitogorsk iron & steel works mmk,,russia,,,,,,,,basic materials,,,,,,
chr hansen holding a/s,,denmark,,,,,,,,basic materials,,,,,,
ab sagax publ,,sweden,,,,,,,,real estate,,,,,,
unibail-rodamco-westfield,,france,,,,,,,,real estate,,,,,,
euronext,,netherlands,,,,,,,,financial services,,,,,,
barratt developments,,uk,,,,,,,,consumer cyclical,,,,,,
acciona,,spain,,,,,,,,industries,,,,,,
on holding ag,,switzerland,,,,,,,,,,,,,,
gecina sa,,france,,,,,,,,real estate,,,,,,
mediobanca banca di credito finanziario,,italy,,,,,,,,financial services,,,,,,
