rank,company,revenues_2018_$m,employees,family_ownership,founded,public/private,generation,family_executive,woman_in_leadership,sector,headquarters,state_(abbreviation),website
117,jm holding gmbh & co kgaa aka jakob muller gmbh & co kg renolit,"2,262.7","7,500",muller,1946,private,3,no,no,industrial manufacturing,worms,rp,www.renolit.com
118,du mann stiftung & co kg auf aktien,"2,243.9","64,500",du mann,1963,private,2,no,yes,profe ional services,berlin,be,www.du mann.com
119,new yorker se,"2,228.2","10,761",knapp,1971,private,2,yes,no,retail,braunschweig,ni,www.newyorker.de
120,alltours flugreisen gmbh,"2,118.8","3,700",verhuven,1974,private,1,yes,yes,profe ional services,du eldorf,nw,www.alltours.de
121,alba plc & co kgaa,"2,118.2","7,800",schweitzer,1968,private,2,yes,yes,profe ional services,berlin,be,www.alba.info
122,meyer neptun group,"2,042.7","3,713",meyer,1795,private,7,yes,no,industrial manufacturing,papenburg,ni,www.meyerwerft.de
123,westfalen ag,"2,017.6","1,600",fritsch-albert,1923,private,4,yes,yes,energy and utilities,munster,nw,westfalen.com
124,wacker neuson se,"1,984.3","5,370","wacker, neunteufel",1848,public,6,no,no,industrial manufacturing,munchen,by,www.wackerneusongroup.com
125,kaefer isoliertechnik gmbh & co kg,"1,980.9","27,000",koch,1918,private,3,no,no,industrial manufacturing,bremen,hb,www.kaefer.com
126,schutz-werke gmbh & co kg,"1,979.7","4,473",schutz,1958,private,2,yes,no,industrial manufacturing,selters,rp,www.schuetz.net
127,krau -maffei wegmann gmbh & co kg,"1,978.4","4,985","bode, braunbehrens, vonmaydell, sethe",1930,private,4,yes,no,industrial manufacturing,munchen,by,www.kmweg.de
128,gottfried schultz gmbh & co kg,"1,977.3","1,954",rademacher,1924,private,3,no,no,retail,ratingen,nw,www.gottfried-schultz.de
129,max bogl stiftung & co kg,"1,951.6","6,500",bogl,1929,private,3,yes,no,industrial manufacturing,sengenthal,by,www.max-boegl.de
130,elringklinger ag,"1,950.5","10,429",lechler,1879,public,4,yes,no,automotive,dettingen an der erms,bw,www.elringklinger.de
131,haubrich zentrale gmbh & co kg aka electronicpartner,"1,940.7","3,200",haubrich,1937,private,3,yes,no,financial services,du eldorf,nw,www.electronicpartner.com
132,karl storz se & co kg,"1,937.7","6,716",storz,1945,private,2,yes,yes,healthcare,tuttlingen,bw,www.karlstorz.de
133,j bunting beteiligungs ag,"1,891.5","14,275",klopp,1806,private,5,no,no,consumer products,leer,ni,www.buenting.de
134,fielmann ag,"1,889.2","19,379",fielmann,1972,public,2,yes,no,retail,hamburg,hh,www.fielmann.de
135,sick ag,"1,874.1","9,737","sick, glaser",1946,private,3,no,no,technology,waldkirch,bw,www.sick.de
136,te ner holding kg,"1,854.8","8,000",te ner,1969,private,2,yes,yes,retail,goslar,ni,www.te ner.de
137,sartorius ag,"1,834.4","8,500","sartorius-herbst, franken, baro, sartorius",1870,public,5,no,no,healthcare,gottingen,ni,www.sartorius.de
138,palm papier gmbh & co kg,"1,831.9","4,000",palm,1872,private,4,yes,no,financial services,aalen,bw,www.palm.info
139,kromberg & schubert gmbh,"1,827.8","42,567",kromberg,1902,private,3,yes,no,automotive,renningen,bw,www.kromberg-schubert.com
140,stroer se & co kgaa,"1,823.7","12,514","stroer, muller",1990,public,1,yes,no,media and entertainment,koln,nw,www.stroeer.de
141,melitta unternehmensgruppe bentz kg,"1,819.1","4,550",bentz,1908,private,4,yes,no,consumer products,minden,nw,www.melitta-group.com
142,bauer ag,"1,817.2","11,797","bauer, teschemacher",1790,public,7,yes,no,industrial manufacturing,schrobenhausen,by,www.bauer.de
143,dohler group se,"1,813.3","6,000","gemmer, klein",1838,private,4,yes,no,foods and beverages,darmstadt,he,www.doehler.com
144,fritz schafer gmbh & co kg einrichtung ysteme,"1,807.8","9,195",schafer,1937,private,4,yes,no,profe ional services,neunkirchen,nw,www. i-schaefer.com
145,kirchhoff automotive holding gmbh & co kg,"1,806.3","8,584",kichhoff,1785,private,4,yes,yes,financial services,iserlohn,nw,www.kirchhoff-gruppe.de
146,peri-werk artur schworer gmbh & co kg,"1,790.9","9,500",schworer,1969,private,2,yes,no,industrial manufacturing,weienhorn,by,www.peri.de
147,bpw bergische achsen kg,"1,754.5","7,196",kotz,1898,private,5,yes,no,automotive,wiehl,nw,www.bpw.de
148,lur en maritime beteiligungen gmbh & co kg,"1,729.5","2,676",luren,1875,private,4,yes,no,industrial manufacturing,bremen,hb,www.luer en.de
149,grob-werke burkhart grob ek,"1,717.4","6,600",grob,1926,private,4,no,no,industrial manufacturing,mindelheim,by,www.grobgroup.com
150,hochland holding gmbh & co kg,"1,705.0","4,521","wagner-summer, reich",1927,private,4,yes,no,foods and beverages,heimenkirch,by,www.hochland.de
151,zollner elektronik ag,"1,665.6","11,000",zollner,1965,private,2,yes,no,technology,zandt,by,www.zollner.de
152,dohle handelsgruppe holding gmbh & co kg,"1,664.6","6,100",dohle,1972,private,3,yes,no,consumer products,siegburg,nw,www.dohle.com
153,heristo holding gmbh,"1,647.8","2,894",risken,1913,private,3,yes,no,foods and beverages,bad rothenfelde,ni,www.heristo.de
154,friedrich boysen holding gmbh,"1,634.1","1,667",boysen,1945,private,2,no,no,automotive,altensteig,bw,www.boysen-online.de
155,wilo se,"1,596.7","7,802",oplander,1872,private,5,no,no,industrial manufacturing,dortmund,nw,www.wilo.com
156,peek & cloppenburg kg,"1,596.1","12,300",cloppenburg,1901,private,5,yes,yes,retail,du eldorf,nw,www.peek-cloppenburg.de
157,krieger group,"1,594.1","6,041",krieger,1874,private,4,yes,yes,retail,schonefeld,bb,www.hoeffner.de
158,deutsche vermogensberatung holding gmbh,"1,587.3","3,400",pohl,1975,private,2,yes,yes,financial services,marburg,he,dvag.de
159,fiege logistik holding stiftung & co kg,"1,585.6","12,952",fiege,1873,private,5,yes,no,transportation and logistics,greven,nw,www.fiege.com
160,soliver bernd freier gmbh & co kg,"1,582.1","7,120",freier,1969,private,2,yes,yes,consumer products,rottendorf,by,www.soliver.com
161,schauinsland-reisen gmbh,"1,581.4",430,ka ner,1918,private,3,yes,no,profe ional services,duisburg,nw,www.schauinsland-reisen.de
162,senger group gmbh,"1,575.5","2,700",senger,1953,private,4,yes,yes,retail,rheine,nw,www.auto-senger.de
163,grunenthal pharma gmbh & co kg,"1,573.0","5,471",wirtz,1946,private,2,no,no,pharmaceuticals and life sciences,aachen,nw,www.grunenthal.com
164,verlagsgruppe georg von holtzbrinck gmbh,"1,568.9","4,816","schoeller, von holtzbrinck",1931,private,2,yes,no,media and entertainment,stuttgart,bw,www.holtzbrinck.com
165,hafele gmbh & co kg,"1,567.7","7,600","hafele, thierer",1923,private,3,yes,yes,industrial manufacturing,nagold,bw,www.haefele.de
166,leonhard wei gmbh & co kg,"1,559.1","5,107","wei , schmidt-wei ",1900,private,4,yes,no,industrial manufacturing,satteldorf,bw,www.leonhard-wei .de
167,trimet se,"1,555.7","1,619",schluter,1985,private,2,no,no,industrial manufacturing,e en,nw,www.trimet.eu
168,c thywi en gmbh,"1,551.8",120,"thywi en, baum",1839,private,6,yes,no,foods and beverages,neu ,nw,www.c-thywi en.de
