name,code,rank,ceo,country,sector,industry,headquarters,employees,founded,marketcap,revenue,net_income,link
humana inc,hum,296,bruce dale broussard,united states,healthcare,healthcare plans,"louisville, ky, united states","95,500","august 18, 1961",56550000000,77155000000,3367000000,"https://www.humana.com, https://www.facebook.com/humana, https://twitter.com/humana, https://www.linkedin.com/company/humana, https://en.wikipedia.org/wiki/humana"
tc energy corporation,trp,295,francois lionel poirier,canada,energy,oil & gas midstream,"calgary, ab, canada","7,017",,56770000000,,,"https://www.tcenergy.com, https://www.facebook.com/tcenergycorporation/, https://twitter.com/tcenergy, https://www.linkedin.com/company/tcenergy/about/"
the saudi national bank,1180,294,saeed bin mohammed a al-ghamdi,saudi arabia,financials,banks,"riyadh, saudi arabia","16,113",,56890000000,,,https://www.alahli.com
ihs markit ltd,info,293,,united kingdom,industrials,consulting services,"london, united kingdom","16,000",1959,56940000000,4658000000,1206000000,"https://www.ihsmarkit.com, https://en.wikipedia.org/wiki/ihs markit"
pinduoduo,pdd,292,lei chen,china,consumer discretionary,internet retail,"shanghai, china","7,986",,57090000000,"us$14.742 billion (fiscal year ended december 31, 2021)","us$1.219 billion (fiscal year ended december 31, 2021)","https://www.pinduoduo.com, https://en.wikipedia.org/wiki/pinduoduo"
marriott international inc,mar,291,anthony g capuano jr,united states,consumer discretionary,lodging,"bethesda, md, united states","120,000","march 5, 1927",57180000000,10571000000,us$-267 million (2020),"https://www.marriott.com, https://en.wikipedia.org/wiki/marriott int%27l."
canadian imperial bank of commerce,cm,290,victor g dodig,canada,financials,banks,"toronto, on, canada","46,030","june 1, 1961",57200000000,c$20.02 billion (2021),c$6.45 billion (2021),"https://www.cibc.com, https://en.wikipedia.org/wiki/canadian imperial bank of commerce"
mitsubishi corp,8058,289,takehiko kakiuchi,japan,industrials,conglomerates,"tokyo, japan",,,57230000000,,,https://www.mitsubishicorp.com
foshan haitian flavouring and food company ltd,603288,288,,china,consumer staples,packaged foods,"foshan, china","6,058",,57400000000,,,https://www.haitian-food.com
enterprise products partners lp,epd,287,a james teague,united states,energy,oil & gas midstream,"houston, tx, united states","7,000",1968,57430000000,27200000000,3775000000,"https://www.enterpriseproducts.com, https://en.wikipedia.org/wiki/enterprise products"
itau unibanco holding sa,itub,286,milton maluhy filho,brazil,financials,banks,"sao paulo, sp, brazil","99,600",,57450000000,,,https://www.itau.com.br
marvell technology inc,9mw,285,matthew j murphy,united states,technology,semiconductors,"wilmington, de, united states","6,695",,57620000000,,,https://www.marvell.com
honda motor co ltd,7267,350,toshihiro mibe,japan,consumer discretionary,auto manufacturers,"tokyo, japan","211,374","hamamatsu, japan october 1946, incorporated 24 september 1948",49110000000,15.36 trillion (2018),1.05 trillion (2018),"https://www.honda.co.jp, https://en.wikipedia.org/wiki/honda"
paychex inc,payx,349,martin mucci,united states,industrials,staffing & employment services,"rochester, ny, united states","15,000",1971,49230000000,4059999999,1100000000,"https://www.paychex.com, https://en.wikipedia.org/wiki/paychex"
centene corporation,cnc,348,sarah m london,united states,healthcare,healthcare plans,"st. louis, mo, united states","72,500",1984,49320000000,111115000000,1808000000,"https://www.centene.com, https://www.facebook.com/centenecorporation, https://twitter.com/centene, https://www.linkedin.com/company/centene-corporation, https://en.wikipedia.org/wiki/centene"
