name,address,nation,hhid,industry,sic_code,type,est_of_ownership
mediamarket spa,"via furlanelli 69, verano brianza, 20843, monza e brianza, italy",it02630120166,h-it0062356658,retail trade,ret misc general merchandise  5399 ,corporation,1990
finarvedi spa,"piazza lodi 7, cremona, 26100, cremona, italy",it04587230154,h-it0020650884,"finance, insurance, and real estate",holding company  6719 ,corporation,1979
inalca spa,"via spilamberto 30/c, castelvetro di modena, 41014, modena, italy",it02562260360,h-it0047540028,manufacturing,meat packing plant  2011 ,corporation,1988
banca nazionale del lavoro spa,"viale altiero spinelli 30, roma, 00157, roma, italy",it09339391006,h-it0075933586,"finance, insurance, and real estate",national commercial bank  6021 ,corporation,2007
fastweb spa,"via francesco caracciolo 51, milano, 20155, milano, italy",it12878470157,h-it0073082406,"transportation, communications, electric, gas, and sanitary services",telephone communications  4813 ,corporation,1999
finbre spa,"viale del lavoro 20, belfiore, 37050, verona, italy",it01907700239,h-it0053224930,"finance, insurance, and real estate",subdivider/developer  6552 ,corporation,1986
maxi di srl,"viale del lavoro 20, belfiore, 37050, verona, italy",it00542090238,h-it0037877445,retail trade,ret groceries  5411 ,corporation,1975
swisscom italia srl,"piazza adriano olivetti 1, milano, 20139, milano, italy",it09412871007,h-it0073228761,"finance, insurance, and real estate",holding company  6719 ,corporation,2007
zurich investments life spa,"via benigno crespi 23, milano, 20159, milano, italy",it08921640150,h-it0065538978,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1952
arca vita spa,"via del fante 21, verona, 37122, verona, italy",it01947090237,h-it0056068484,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1987
agricola tre valli societa' cooperativa,"via valpantena 18/g, verona, 37142, verona, italy",it02447620234,h-it0050197304,manufacturing,poultry processing  2015 ,corporation,1983
conad consorzio nazionale dettaglianti soc coop,"via michelino 59, bologna, 40127, bologna, italy",it03320960374,h-it0017623804,wholesale trade,whol non durable goods  5199 ,corporation,1962
sesa spa,"via della piovola 138, empoli, 50053, firenze, italy",it07116910964,h-it0021553033,services,management consulting services  8742 ,corporation,2010
terna rete elettrica nazionale spa,"viale egidio galbani 70, roma, 00156, roma, italy",it05779661007,h-it0009518258,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1999
moncler spa,"via enrico stendhal 47, milano, 20144, milano, italy",it04642290961,h-it0002491664,"finance, insurance, and real estate",patent owner/lessor  6794 ,corporation,2004
