name,master_cap,country,industry,sector
smart metering systeplc,1170000000,united kingdom,electrical equipment & parts,industrials
edinburgh worldwide investment trust plc,1160000000,united kingdom,asset management,financials
emis group plc,1160000000,united kingdom,health information services,healthcare
vinacapital vietnam opportunity fund limited,1140000000,united kingdom,asset management,financials
kape technologies plc,1140000000,united kingdom,softwareinfrastructure,technology
jpmorgan euro small co trust plc,"(dec. 1, 2021)",united kingdom,asset management,financials
alpha fx group plc,1130000000,united kingdom,capital markets,financials
chemring group plc,1130000000,united kingdom,aerospace & defense,industrials
cls holdings plc,1110000000,united kingdom,real estate services,real estate
volution group plc,1090000000,united kingdom,building products & equipment,industrials
scottish american investment company plc,1090000000,united kingdom,asset management,financials
pz cussons plc,1080000000,united kingdom,household & personal products,consumer staples
blackrock smaller companies trust,1070000000,united kingdom,asset management,financials
jpmorgan japanese investment trust plc,1060000000,united kingdom,asset management,financials
digital 9 infrastructure plc,1060000000,united kingdom,asset management,financials
aberdeen total dynamic dividend fund,1060000000,united kingdom,asset management,financials
standard life private equity trust plc,1060000000,united kingdom,asset management,financials
mitie group plc,1050000000,united kingdom,specialty business services,industrials
icg enterprise trust plc,1040000000,united kingdom,asset management,financials
4imprint group plc,1040000000,united kingdom,advertising agencies,communication services
sdcl energy efficiency income trust plc,1040000000,united kingdom,asset management,financials
caretech holdings plc,1040000000,united kingdom,medical care facilities,healthcare
global ship lease inc,1030000000,united kingdom,marine shipping,industrials
capital gearing trust plc,1030000000,united kingdom,asset management,financials
liontrust asset management plc,1020000000,united kingdom,asset management,financials
bicycle therapeutics plc,1020000000,united kingdom,biotechnology,healthcare
stock spirits group plc,"(nov. 1, 2021)",united kingdom,beverageswineries & distilleries,consumer staples
provident financial plc,1010000000,united kingdom,credit services,financials
baillie gifford japan trust plc,1010000000,united kingdom,asset management,financials
focusrite plc,1010000000,united kingdom,leisure,consumer discretionary
temple bar investment trust plc,998700000,united kingdom,asset management,financials
pantheon resources plc,997000000,united kingdom,oil & gas e&p,energy
cmc markets plc,985200000,united kingdom,capital markets,financials
tullow oil plc,983500000,united kingdom,oil & gas e&p,energy
tr european growth trust plc,"(jan. 1, 2022)",united kingdom,asset management,financials
henderson smaller companies investment trust,960600000,united kingdom,asset management,financials
ienergizer limited,957500000,united kingdom,information technology services,technology
baillie gifford us growth trust plc,955400000,united kingdom,asset management,financials
standard life uk smaller companies trust plc,"(dec. 1, 2021)",united kingdom,asset management,financials
warehouse reit plc,946900000,united kingdom,reitindustrial,real estate
the merchants trust plc,946400000,united kingdom,asset management,financials
schroder oriental income fund limited,945600000,united kingdom,asset management,financials
nb private equity partners limited,937200000,united kingdom,asset management,financials
jpmorgan global growth & income plc,931600000,united kingdom,asset management,financials
elementis plc,928500000,united kingdom,specialty chemicals,basic materials
ibstock plc,925500000,united kingdom,building materials,basic materials
team17 group plc,920700000,united kingdom,electronic gaming & multimedia,communication services
crest nicholson holdings plc,915000000,united kingdom,residential construction,consumer discretionary
marlowe plc,906300000,united kingdom,security & protection services,industrials
yellow cake plc,905800000,united kingdom,uranium,energy
bh macro limited gbp,904500000,united kingdom,asset management,financials
blackrock throgmorton trust plc,904000000,united kingdom,asset management,financials
discoverie group plc,903900000,united kingdom,electronic components,technology
treatt plc,903400000,united kingdom,specialty chemicals,basic materials
mccarthy & stone plc,"(march 13, 2021)",united kingdom,medical care facilities,healthcare
equiniti group plc,"(dec. 1, 2021)",united kingdom,softwareinfrastructure,technology
young & co's brewery plc,891400000,united kingdom,restaurants,consumer discretionary
alternative credit investments plc,"(march 13, 2021)",united kingdom,asset management,financials
watkin jones plc,882200000,united kingdom,residential construction,consumer discretionary
ergomed plc,870200000,united kingdom,biotechnology,healthcare
bakkavor group plc,867600000,united kingdom,packaged foods,consumer staples
the rank group plc,853800000,united kingdom,gambling,consumer discretionary
hochschild mining plc,852300000,united kingdom,gold,basic materials
third point investors limited,836600000,united kingdom,asset management,financials
alliance pharma plc,834500000,united kingdom,drug manufacturersspecialty & generic,healthcare
polar capital holdings plc,830300000,united kingdom,asset management,financials
centessa pharmaceuticals ltd,830100000,united kingdom,biotechnology,healthcare
tyman plc,829200000,united kingdom,building products & equipment,industrials
restore plc,828800000,united kingdom,specialty business services,industrials
ruffer investment company limited,827800000,united kingdom,asset management,financials
pacific horizon investment trust,823500000,united kingdom,asset management,financials
nextenergy solar ord,817800000,united kingdom,asset management,financials
genius sports ltd,812900000,united kingdom,internet content & information,communication services
mas real estate inc,"(nov. 1, 2021)",united kingdom,real estatediversified,real estate
the vitec group plc,803400000,united kingdom,consumer electronics,technology
ag barr plc,799200000,united kingdom,beveragesnon-alcoholic,consumer staples
advanced medical solutions group plc,793700000,united kingdom,medical instruments & supplies,healthcare
the scottish investment trust plc,791800000,united kingdom,asset management,financials
jpmorgan indian investment trust plc,785900000,united kingdom,asset management,financials
keller group plc,778100000,united kingdom,engineering & construction,industrials
reach plc,777100000,united kingdom,publishing,communication services
bank of georgia group plc,777100000,united kingdom,banks,financials
mortgage advice bureau holdings plc,771400000,united kingdom,mortgage finance,financials
target healthcare reit plc,769600000,united kingdom,reitdiversified,real estate
sabre insurance group plc,766400000,united kingdom,insurance brokers,financials
mp evans group plc,758200000,united kingdom,farm products,consumer staples
hotel chocolat group plc,756600000,united kingdom,confectioners,consumer staples
stagecoach group plc,751100000,united kingdom,railroads,industrials
renew holdings plc,744000000,united kingdom,engineering & construction,industrials
rak petroleum plc,737400000,united kingdom,oil & gas e&p,energy
asia dragon trust plc,737000000,united kingdom,asset management,financials
oxford biomedica plc,734700000,united kingdom,biotechnology,healthcare
dfs furniture plc,733000000,united kingdom,"furnishings, fixtures & appliances",consumer discretionary
civitas social housing plc,729800000,united kingdom,reitresidential,real estate
ideagen plc,728400000,united kingdom,softwareapplication,technology
forterra plc,725500000,united kingdom,building materials,basic materials
harworth group plc,723600000,united kingdom,real estatedevelopment,real estate
picton property income limited,722200000,united kingdom,reitdiversified,real estate
empiric student property plc,721300000,united kingdom,reitresidential,real estate
greatland gold plc,721200000,united kingdom,gold,basic materials
goco group plc,"(march 13, 2021)",united kingdom,information technology services,technology
