link,name,country,industry,revenue,employees,founded
https://www.interviewbit.com/practice/,interviewbit,india,education,2,52,2015
https://www.acteamenr.fr/,acteam enr,france,energy,"2,133,691",8,2012
https://www.everflowwater.com/,everflow,uk,technology,"64,223,085",70,2015
https://www.elvie.com,elvie,uk,technology,"22,532,771",87,2013
https://www.unicoenergia.com,unicoenergia,italy,energy,3,15,2013
http://www.beattiepassive.com/,beattie passive group,united kingdom,construction,7,21,2014
https://fensterblick.de/,fensterblick,germany,ecommerce,3,10,2013
https://inglewood.co.jp/,inglewood,japan,support services,140,150,2005
https://cim.io/,cim environmental pty ltd,australia,technology,3,45,2013
http://www.foodforce.nagoya/,food force,japan,food & beverage,2,20,2015
https://iswitch.com.sg/,i switch,singapore,energy,95,57,2015
https://declarators.com.sg/,declarators,singapore,transport,1,24,2014
https://www.lintestech.com/,lintes technology,taiwan,technology,72,1371,2011
https://azureprism.com/,azure prism,uk,retail,"4,752,777",1,2016
https://www.wr-group.global/,wr logistics,germany,transport,"11,662,200",7,2017
https://www.mavoco.com/,mavoco,austria,telecoms,"4,959,694",48,2010
https://www.bytelondon.com,byte london,united kingdom,advertising,12,68,2013
https://www.eskimoz.fr/,eskimoz,france,media,9,90,2012
https://indiecampers.com/,indie campers,portugal,travel & leisure,9,93,2013
https://united-silk.co.jp/,united silk,japan,sales & marketing,5,8,2016
https://www.medtecs.com/,medtecs,taiwan,health,13,"7,500",1989
https://sumarch.co.jp/,sumarch,japan,property,34,150,2009
https://twinny.ai/,twinny,south korea,technology,1,38,2015
https://lakeba.com/,lakeba group,australia,technology,7,144,2013
https://www.iproov.com/,iproov,uk,technology,"7,435,887",61,2011
https://spin-up.it/,spin up,italy,advertising,"4,009,330",5,2017
https://www.tmtinternational.it,tmt international,italy,industrial goods,"13,655,743",25,2014
https://www.digidip.net,digidip,germany,sales & marketing,8,13,2013
http://zonneplan.nl/,zonneplan,netherlands,energy,54,85,2012
https://www.itp-world.com/,itp nord,germany,technology,4,42,2014
https://amazia.co.jp/,amazia,japan,media,70,29,2009
http://www.tidehold.com/,tidehold development,taiwan,construction,14,15,1949
https://www.suprieve.com/,suprieve,japan,support services,33,754,2015
http://indiqube.com/,indiqube,india,property,33,383,2015
https://singfuels.com/,sing fuel,singapore,transport,418,28,2012
https://www.owngrown.com/,begreat,germany,retail,"5,141,555",16,2012
https://www.tsunaminutrition.it/,tsunami nutrition,italy,ecommerce,"6,945,000",17,2017
https://www.j-pm-systems.com,j-pm systems,germany,industrial goods,"29,264,500",72,2015
https://www.domator24.com,domator24com,poland,personal & household goods,7,20,2004
https://www.agriconomie.com/,agriconomie,france,retail,27,76,2014
https://www.bettzeit.com/,bettzeit,germany,retail,80,175,2013
https://www.ga-tech.co.jp/,ga technologies,japan,property,570,479,2013
https://renew-it.com/,renew it,australia,technology,13,60,2008
http://iot-cntech.com/,c&tech,south korea,fintech,1,40,2012
https://www.serosoft.com/,serosoft,india,technology,3,135,2008
